author_id,author_name,work_id,page_title,creation_date,raw_character_count,cleaned_character_count,han_character_count,removed_character_count,paragraph_count,sentence_count,segmented_token_count,short_interaction_count,multi_interaction_count,full_pinyin_success_count,initial_pinyin_success_count,alignment_failure_count,script_distribution
da-author-mscarlet-78b5e8fb,MScarlet,da-work-21694963,如何做出好吃的年糕，還有吃年糕之後有什麼效果,2014-03-10,1624,1625,1408,0,1,50,1069,885,737,1622,1622,0,traditional
da-author-mscarlet-78b5e8fb,MScarlet,da-work-22434446,2014年的新春之時,2014-05-30,4937,4938,3546,0,9,181,3105,2245,1738,3983,3983,0,mixed
da-author-mscarlet-78b5e8fb,MScarlet,da-work-23504963,讚美鸚鵡螺！,2014-08-31,2920,2921,2165,0,5,72,1779,1343,1106,2449,2449,0,traditional
da-author-mscarlet-78b5e8fb,MScarlet,da-work-23505019,剎那之旅,2014-08-31,5953,5954,4654,0,9,148,3734,2925,2408,5333,5333,0,traditional
da-author-mscarlet-78b5e8fb,MScarlet,da-work-26453694,英雄記：「幸運的」凡琴,2015-07-13,5721,5720,4847,1,7,147,3690,2961,2461,5422,5422,0,traditional
da-author-mscarlet-78b5e8fb,MScarlet,da-work-27418987,真正的遺產,2015-09-07,10780,10781,8025,0,12,317,6656,4957,4006,8963,8963,0,mixed
da-author-mscarlet-78b5e8fb,MScarlet,da-work-43951662,醜響,2016-05-15,2538,2537,2110,1,7,76,1676,1303,1074,2377,2377,0,traditional
da-author-mscarlet-78b5e8fb,MScarlet,da-work-44056026,斯卡麗的完美玩梗教室,2016-05-23,4058,4057,3295,1,9,98,2644,2073,1718,3791,3791,0,mixed
da-author-mscarlet-78b5e8fb,MScarlet,da-work-44199244,碎命眼鏡,2016-06-04,4494,4316,3147,178,25,71,2589,1798,1444,3242,3242,0,mixed
da-author-mscarlet-78b5e8fb,MScarlet,da-work-44881272,湖中劍協議,2016-08-04,2387,2383,1609,4,6,46,1452,938,762,1700,1700,0,traditional
da-author-mscarlet-78b5e8fb,MScarlet,da-work-45055458,消逝的書中重生的數碼音樂奇幻,2016-08-17,4539,4538,2836,1,6,77,2685,1673,1344,3017,3017,0,traditional
da-author-mscarlet-78b5e8fb,MScarlet,da-work-47000857,孩子氣的戰爭,2017-01-22,2793,2788,2164,5,15,109,1870,1302,1024,2326,2326,0,traditional
da-author-mscarlet-78b5e8fb,MScarlet,da-work-47235212,說個故事吧,2017-02-03,7720,7721,6769,0,6,223,5112,4290,3625,7915,7915,0,traditional
da-author-mscarlet-78b5e8fb,MScarlet,da-work-47380043,告別樂土,2017-02-11,900,898,764,2,3,31,611,476,388,864,864,0,traditional
da-author-mscarlet-78b5e8fb,MScarlet,da-work-48595485,《展翅高飛》,2017-04-11,4180,4162,3213,18,18,95,2580,1907,1586,3493,3493,0,mixed
da-author-mscarlet-78b5e8fb,MScarlet,da-work-49032590,翻譯不只是塊蛋糕,2017-04-23,3895,3893,2780,2,23,90,2385,1718,1402,3120,3120,0,mixed
da-author-agent-phage-bc08199e,Agent Phage,da-work-52130700,禁止访问,2017-07-16,9643,8973,4252,670,33,166,4810,2342,1825,4167,4167,0,mixed
da-author-agent-phage-bc08199e,Agent Phage,da-work-52720697,在你读到这里时，我已经达到我的目标了,2017-08-04,3940,3799,3182,141,32,143,2483,1901,1523,3424,3424,0,simplified
da-author-qblevi-494cde49,QBLevi,da-work-52911297,在你读到这里时，我已经退场了,2017-08-08,519,520,442,0,3,30,342,263,210,473,473,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-53039189,人民管理制度,2017-08-11,2669,2656,1742,13,8,62,1586,1000,808,1808,1808,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-53132605,召回,2017-08-13,1301,1160,968,141,7,49,775,595,472,1067,1067,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-53171803,唯一,2017-08-14,1852,1714,1421,138,5,56,1052,847,699,1546,1546,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-53239187,未铭记，何谈淡忘,2017-08-15,2220,2073,1671,147,11,98,1347,1030,818,1848,1848,0,simplified
da-author-qblevi-494cde49,QBLevi,da-work-53608900,编年史正本,2017-08-23,2555,2550,1818,5,11,79,1521,1028,772,1800,1800,0,simplified
da-author-qblevi-494cde49,QBLevi,da-work-53806893,天籁,2017-08-27,996,997,742,0,5,29,602,414,327,741,741,0,simplified
