author,work,source_excerpt,context,gold,full_pinyin,initial_pinyin,composition_type,text_clean,segmentation_ok,pinyin_ok,composition_ok,notes
Re_spectators,取代反应,"著作信息

SCP-CN-001：Re_spectators的提案 - 取代反应
作者：Re_spectators
→ 查看本文作者的更多作品，请点击此处←

图像信息：
I. SCP CAPRICA的标志、文字和相关图片及Boltzmann等级的标志均为作者本人创作。
II. 文中“加载箭头”标志(http://scpsandboxcn.wdfiles.c",,,,,cleaned_text,,,,,
Re_spectators,Re_spectators的提案,"致SCP CAPRICA首席研究员先生，
当你能看到这封信时，我首先应该祝贺你升任SCP CAPRICA首席研究员。你现在应该已经对SCP-CN-001的性质无比熟悉了。
我相信经过这么久的研究，你应该已经明白了SCP-CN-001与我们的距离并不像看上去那样遥远。现时的研究认为水的相对介电常数必须处于██±█████的范围内才可以保证碳元素发展出生命的能力",,,,,cleaned_text,,,,,
Re_spectators,取代反应,著作信息,著作,信息,xin xi,x x,short,,,,,
Re_spectators,取代反应,"著作信息

SCP-CN-001：Re_spectators的","著作信息

SCP-CN-001：Re_spectators",的,de,d,short,,,,,
Re_spectators,取代反应,"著作信息

SCP-CN-001：Re_spectators的提案","著作信息

SCP-CN-001：Re_spectators的",提案,ti an,t a,short,,,,,
Re_spectators,取代反应,"著作信息

SCP-CN-001：Re_spectators的提案","著作信息

SCP-CN-001：Re_spectators",的提案,de ti an,d t a,multi,,,,,
Re_spectators,取代反应,"著作信息

SCP-CN-001：Re_spectators的提案 - 取代反应","著作信息

SCP-CN-001：Re_spectators的提案 - ",取代反应,qu dai fan ying,q d f y,multi,,,,,
Re_spectators,取代反应,"著作信息

SCP-CN-001：Re_spectators的提案 - 取代反应
作者：Re_spectators
→ 查看本文作者的","著作信息

SCP-CN-001：Re_spectators的提案 - 取代反应
作者：Re_spectators
→ ",查看本文作者的,cha kan ben wen zuo zhe de,c k b w z z d,multi,,,,,
MScarlet,專訪重裝海豹人,"著作信息

X

專訪重裝海豹人 a.k.a. 專訪Scarlet博士與他的平板後宮
作者：MScarlet，點此觀看我寫的其他作品
2020年WAIFU竞赛參賽作品

延伸閱讀：
安保设施档案：Site-CN-71——故事的舞台
SCP-CN-570——Scarlet是如何遇上另一個自己的
公款旅游：红之爱丽丝的疯狂回归——本應有Scarlet怎跟Koo(",,,,,cleaned_text,,,,,
MScarlet,一頭會行走的海豹,"著作信息

SCP-CN-1921：一頭會行走的海豹
作者：MScarlet，點此觀看我寫的其他作品
又或者可以讀成：一頭會行走的封印

延伸閱讀：
SCP-CN-1997
香城中心頁
港．城．江 中心頁

圖片授權：
原始來源：https://commons.wikimedia.org/wiki/File:Weaned_harp_seal_pup_with",,,,,cleaned_text,,,,,
MScarlet,專訪重裝海豹人,著作信息,著作,信息,xin xi,x x,short,,,,,
MScarlet,專訪重裝海豹人,"著作信息

X

專訪","著作信息

X

",專訪,zhuan fang,z f,short,,,,,
MScarlet,專訪重裝海豹人,"著作信息

X

專訪重裝","著作信息

X

專訪",重裝,zhong zhuang,z z,short,,,,,
MScarlet,專訪重裝海豹人,"著作信息

X

專訪重裝海豹人","著作信息

X

",專訪重裝海豹人,zhuan fang zhong zhuang hai bao ren,z f z z h b r,multi,,,,,
MScarlet,專訪重裝海豹人,"著作信息

X

專訪重裝海豹人","著作信息

X

專訪",重裝海豹人,zhong zhuang hai bao ren,z z h b r,multi,,,,,
MScarlet,專訪重裝海豹人,"著作信息

X

專訪重裝海豹人","著作信息

X

專訪重裝",海豹人,hai bao ren,h b r,multi,,,,,
Etinjat,歌行：五次覔狂喜,"穷览幽冥虚沫析，乐吹疯笛震愚鼓
妄灵不识丧惊迷，随我梦玄堪一睹
旋臂长舒揽古云，拨星傧礼黑皇后
狂傩迭影舞红移，潮落激杯斟砾酒
掷洒蚀焚阿赖耶，赏观伪圣祭相戮
非无非有啸歌稠，吊虺窃形挛朽木
献我太初一切元，却闻卿爱戏骄客
秘团盗钥满贪痴，真理牢门开镜壁
紫魇提傀引旧神，证婚烙血赤王子
五分之五合中旋，绞破实弦缠界死

且裂我身影，且侵我空灵
鼓胀盲信之气结",,,,,cleaned_text,,,,,
Etinjat,愚者史诗 —— 缢王深殿里,"隐藏 移出鼠标 | 关闭

+ 进行评分

- 进行评分

题：缢王诗行
起：日落王城
承：沉沦幽林
转：毁灭宿命
合：缢王未死
起：玄冥之下
跋：愚者之血

回到标题
跳至底部

题

《缢王深殿里》又作《缢王诗行》，总叙狄瓦之王遗事。原编者不详，然伪斯韦登伯格稿本题跋作“愚者”。据信该文成书并非一时，亦见杂有《蛇说》、《三坟》、《那梨石前纪》、《旧世之火",,,,,cleaned_text,,,,,
Etinjat,歌行：五次覔狂喜,穷览幽冥,穷览,幽冥,you ming,y m,short,,,,,
Etinjat,歌行：五次覔狂喜,穷览幽冥虚沫析,穷览幽冥,虚沫析,xu mo xi,x m x,short,,,,,
Etinjat,歌行：五次覔狂喜,穷览幽冥虚沫析，乐吹,穷览幽冥虚沫析，,乐吹,le chui,l c,short,,,,,
Etinjat,歌行：五次覔狂喜,穷览幽冥虚沫析,穷览,幽冥虚沫析,you ming xu mo xi,y m x m x,multi,,,,,
Etinjat,歌行：五次覔狂喜,穷览幽冥虚沫析，乐吹疯笛震愚鼓,穷览幽冥虚沫析，,乐吹疯笛震愚鼓,le chui feng di zhen yu gu,l c f d z y g,multi,,,,,
Etinjat,歌行：五次覔狂喜,穷览幽冥虚沫析，乐吹疯笛震愚鼓,穷览幽冥虚沫析，乐吹,疯笛震愚鼓,feng di zhen yu gu,f d z y g,multi,,,,,
Agent Phage,迟来的光芒随风而去,"著作信息

X

作者：Agent Phage，可于人事档案查看该作者的其他作品。
希望大家喜欢。

返回

* * *

Sally是在那栋已经被废弃的建筑里找到这个人的。她当然不认识他，任何一丝熟悉的感觉都没有。她那天本来是抱着碰碰运气的想法翻进这栋建筑的，想找找看还有没有能用的吃的。就在她边哼着小曲边推着一购物车的还没完全腐烂的罐头，满心欢喜的想着今天",,,,,cleaned_text,,,,,
Agent Phage,Carroll 122 号：虚空之名,"著作信息

X

作者：Agent Phage，可于人事档案查看该作者的其他作品。
希望大家喜欢。

返回

RAISA 档案：相关组织 [已解散]
GOI-001：芝加哥鬼灵
档案创建日期：约 1928年
GOI 对本文档最后编辑日期：1933年7月
档案回收日期：1933年9月
[以下为原文重现]1

{Carroll 122:}

{虚空之名}

这一",,,,,cleaned_text,,,,,
Agent Phage,迟来的光芒随风而去,著作信息,著作,信息,xin xi,x x,short,,,,,
Agent Phage,迟来的光芒随风而去,"著作信息

X

作者","著作信息

X

",作者,zuo zhe,z z,short,,,,,
Agent Phage,迟来的光芒随风而去,"著作信息

X

作者：Agent Phage，可","著作信息

X

作者：Agent Phage，",可,ke,k,short,,,,,
Agent Phage,迟来的光芒随风而去,"著作信息

X

作者：Agent Phage，可于人事档案查看","著作信息

X

作者：Agent Phage，",可于人事档案查看,ke yu ren shi dang an cha kan,k y r s d a c k,multi,,,,,
Agent Phage,迟来的光芒随风而去,"著作信息

X

作者：Agent Phage，可于人事档案查看该","著作信息

X

作者：Agent Phage，可",于人事档案查看该,yu ren shi dang an cha kan gai,y r s d a c k g,multi,,,,,
Agent Phage,迟来的光芒随风而去,"著作信息

X

作者：Agent Phage，可于人事档案查看该作者","著作信息

X

作者：Agent Phage，可于",人事档案查看该作者,ren shi dang an cha kan gai zuo zhe,r s d a c k g z z,multi,,,,,
QBLevi,基金会内参（2018年8月刊）,"月度风云人物：前任特工Asriel

Wendell Asriel是中国分部91站点所属的一名外勤特工。他于本月初发布了一系列由自身研究得出的文档插件代码，为基金会文书工作带来了巨大的改变。
至月底，基金已经有63万名文员、21万名研究员和5万名高级研究员采用了这些文档插件代码，致使基金会文书工作的整体效率提高了52.6%。大量时间被节省下来，用以更好地进行",,,,,cleaned_text,,,,,
QBLevi,凌晨星,"一艘平平常常太空船，两个普普通通地球人。
超空间诡异的幻彩褪去，我们完成了最后一次迁跃航行。目标星系在我们面前展现。
“又是太空中平静的一天，哈？”我的搭档，特工Asriel告死天使一手驾轻就熟地控制着引擎节流阀，一手将塔可送入口中。
这家伙技术精湛，就是有点散漫。我叹息道：“你该感谢麻烦没来找你。”
“我知道，我知道。”Asriel咽下最后一口塔可，“常规",,,,,cleaned_text,,,,,
QBLevi,基金会内参（2018年8月刊）,月度风云人物,月度,风云人物,feng yun ren wu,f y r w,short,,,,,
QBLevi,基金会内参（2018年8月刊）,月度风云人物：前任,月度风云人物：,前任,qian ren,q r,short,,,,,
QBLevi,基金会内参（2018年8月刊）,月度风云人物：前任特工,月度风云人物：前任,特工,te gong,t g,short,,,,,
QBLevi,基金会内参（2018年8月刊）,月度风云人物：前任特工,月度风云人物：,前任特工,qian ren te gong,q r t g,multi,,,,,
QBLevi,基金会内参（2018年8月刊）,"月度风云人物：前任特工Asriel

Wendell Asriel是中国分部","月度风云人物：前任特工Asriel

Wendell Asriel",是中国分部,shi zhong guo fen bu,s z g f b,multi,,,,,
QBLevi,基金会内参（2018年8月刊）,"月度风云人物：前任特工Asriel

Wendell Asriel是中国分部","月度风云人物：前任特工Asriel

Wendell Asriel是",中国分部,zhong guo fen bu,z g f b,multi,,,,,
