author_id,author_name,work_id,page_title,creation_date,raw_character_count,original_cleaned_character_count,cleaned_character_count,han_character_count,removed_character_count,metadata_removed_character_count,metadata_removed_block_count,paragraph_count,sentence_count,segmented_token_count,short_interaction_count,multi_interaction_count,full_pinyin_success_count,initial_pinyin_success_count,alignment_failure_count,original_script_distribution,script_distribution,opencc_changed_character_count,boundary_sequence_count,punctuation_boundary_count,latin_or_digit_boundary_count,whitespace_boundary_count,other_symbol_boundary_count,original_cleaned_sha256,simplified_cleaned_sha256
da-author-mscarlet-78b5e8fb,MScarlet,da-work-21694963,如何做出好吃的年糕，還有吃年糕之後有什麼效果,2014-03-10,1624,1625,1625,1408,0,0,0,1,50,869,868,720,1588,1588,0,traditional,simplified,412,148,145,7,20,0,c761a2114f291ba0bdd5db6231897802823b46a0c133b7eff1a3d9df6723ce1f,51c710cb3c6ced88d4017106515edb1ba25fbb503d2b29a2d8d9e0fc5bce67bb
da-author-mscarlet-78b5e8fb,MScarlet,da-work-22434446,2014年的新春之時,2014-05-30,4937,4938,4938,3546,0,0,0,9,181,2217,2216,1709,3925,3925,0,mixed,simplified,979,508,470,108,97,6,8963b701e45ad3f939397283616fb8d08fccc12a9dcedfbe67aa2c461c97e442,70135df5d0c80cef863aabe5d8cdff8b26acd3d2a30a833c6b8b46905580b038
da-author-mscarlet-78b5e8fb,MScarlet,da-work-23504963,讚美鸚鵡螺！,2014-08-31,2920,2921,2921,2165,0,0,0,5,72,1292,1291,1054,2345,2345,0,traditional,simplified,610,238,224,46,52,1,00518a8396258df5eeb4bfe78d5906f99791a2524804f47e093e4bfe44585329,4c892247c9a2b88af955a0378664fe8d12b287d672c7b3d2c94af4ab113aaa2c
da-author-mscarlet-78b5e8fb,MScarlet,da-work-23505019,剎那之旅,2014-08-31,5953,5954,5954,4654,0,0,0,9,148,2828,2827,2310,5137,5137,0,traditional,simplified,1246,517,454,113,108,0,a1754d6d57792148eb07db6a9d34f3b7fb5f76efc2ff57f4eb5d6237f9c8e1fe,57cdfad38801e08dbd7015a2df2992c43599c7d8b98707c20ad65fe740b40e27
da-author-mscarlet-78b5e8fb,MScarlet,da-work-26453694,英雄記：「幸運的」凡琴,2015-07-13,5721,5720,5720,4847,1,0,0,7,147,2929,2928,2429,5357,5357,0,traditional,simplified,1256,501,475,37,85,0,40af35f243376894036c264a7dd753fe917690c00aa0bac29753cd6be207e769,7797cfc0640070c002a2a723647d84f42f8d9337cbc113521ca2d803b7ee7eb4
da-author-mscarlet-78b5e8fb,MScarlet,da-work-27418987,真正的遺產,2015-09-07,10780,10781,10781,8025,0,0,0,12,317,4899,4898,3948,8846,8846,0,mixed,simplified,2316,952,865,213,174,0,91be5d11a47792dc4a724b171304241af792781a0d964c82e884a49e4c88f7c2,c428ad8fd70c899012cd484e411b82c6a4042b9b7485b0b711de31e4fe7d6453
da-author-mscarlet-78b5e8fb,MScarlet,da-work-43951662,醜響,2016-05-15,2538,2537,2537,2110,1,0,0,7,76,1309,1308,1079,2387,2387,0,traditional,simplified,578,229,220,11,69,0,b6ade775d83be014b5002525d88588fb36911e32a25d12708119cc1f341edf01,f97014731cb886098b84f352fa6c7bfda78299273e8fdcc3a67af87899838864
da-author-mscarlet-78b5e8fb,MScarlet,da-work-44056026,斯卡麗的完美玩梗教室,2016-05-23,4058,4057,4057,3295,1,0,0,9,98,2020,2019,1664,3683,3683,0,mixed,simplified,775,356,324,62,62,1,8eec25dd2b9c31c906d442df0d00c715db264fa69c63b7c0b40f6edce7056b7a,e6bdbeedf70c0c17f9ce729566629380394ba426464c6cd3d7d1bd8e884b5767
da-author-mscarlet-78b5e8fb,MScarlet,da-work-44199244,碎命眼鏡,2016-06-04,4494,4136,4136,3029,358,351,1,16,70,1745,1744,1408,3152,3152,0,mixed,simplified,1055,337,278,115,86,1,c7f7ae9142633d3e23f6d6fcecb01c83f6ba2d45a3ada914c49e033cb4d13d6c,3eb3d65218e0d0a94423bb48bc99c78087f5608f200445e37c5d6650f893b86a
da-author-mscarlet-78b5e8fb,MScarlet,da-work-44881272,湖中劍協議,2016-08-04,2387,2383,2383,1609,4,0,0,6,46,952,951,775,1726,1726,0,traditional,simplified,602,176,162,71,27,10,22e03fe0d227357a881d7fef0b62188374462282f23561c3760b7132aca615dc,c4d32568bc2230b5ac4b6a52350cffa713789c60ee28752759cd18c009781066
da-author-mscarlet-78b5e8fb,MScarlet,da-work-45055458,消逝的書中重生的數碼音樂奇幻,2016-08-17,4539,4538,4538,2836,1,0,0,6,77,1636,1635,1307,2942,2942,0,traditional,simplified,952,329,301,160,47,12,759fd37fcfaca5669131fb67e62d56ec4558b637f5f0c3a9c9d6fe7b44f44ecd,fac6a1298c232d4feabfc8ad1c0e1be750f765f4923f0402b4becb368872b044
da-author-mscarlet-78b5e8fb,MScarlet,da-work-47000857,孩子氣的戰爭,2017-01-22,2793,2788,2788,2164,5,0,0,15,109,1303,1302,1024,2326,2326,0,traditional,simplified,642,278,261,39,65,13,feccb7b41d0723fdc0728b171672542cd82ced84ccb87bbd10c9d4c8b4fbf4cd,f2a2f69a22cc0f3567c40f0cdffd797ad7bcdd3a7c76b41c776ad1d442780876
da-author-mscarlet-78b5e8fb,MScarlet,da-work-47235212,說個故事吧,2017-02-03,7720,7721,7721,6769,0,0,0,6,223,4199,4198,3533,7731,7731,0,traditional,simplified,1920,665,646,29,87,0,8c48dbf6377c1e0f9891a68702c9c32465b2045985d0a0693a258d2d6081799c,05e56b337d22b42313f7419c455bb0351e97e79aee0c75b18c5f39b13d73cc9b
da-author-mscarlet-78b5e8fb,MScarlet,da-work-47380043,告別樂土,2017-02-11,900,898,898,764,2,0,0,3,31,464,463,375,838,838,0,traditional,simplified,227,88,87,1,15,0,aa8defa7a55adaa5cac4080fd3a08b8b39a4892042152bfce5adcdac80bbe25e,559cc1db48aa454e94c1815fc18f7971a42e81a73aa48cbd4f3874956f899f2b
da-author-mscarlet-78b5e8fb,MScarlet,da-work-48595485,《展翅高飛》,2017-04-11,4180,4162,4162,3213,18,0,0,18,95,1889,1888,1567,3455,3455,0,mixed,simplified,1079,322,294,73,82,0,9f89346a35f11395f5a4c31c8ad4f33c2a8e2a5493482933c7c4a58977c6636f,5668817da77ac93e487fa17b6b905e799ef56ba2b853bbb4bfdef26a8842b22e
da-author-mscarlet-78b5e8fb,MScarlet,da-work-49032590,翻譯不只是塊蛋糕,2017-04-23,3895,3893,3893,2780,2,0,0,23,90,1666,1665,1349,3014,3014,0,mixed,simplified,752,317,290,43,84,2,368a15cb81310a42fcc7042ff1fd23310523e872e1a3ecce33e21e3010292aa7,201fc21813c8df068a1987de9a834156bc678e5de533bb51d9570828c8c7b434
da-author-agent-phage-bc08199e,Agent Phage,da-work-52130700,禁止访问,2017-07-16,9643,6451,6451,4222,3192,3176,1,20,118,2326,2325,1814,4139,4139,0,mixed,simplified,6,512,459,206,80,26,46f9cbabfa46441364ba9b203004558bd930103d2b718fc2e8eb1cbda31915cd,d033cb622ef14bc184102f1a6927ec3d20072b265d5bb48ea9a97a9fa6afa589
da-author-agent-phage-bc08199e,Agent Phage,da-work-52720697,在你读到这里时，我已经达到我的目标了,2017-08-04,3940,3752,3752,3158,188,186,1,28,142,1890,1889,1515,3404,3404,0,simplified,simplified,0,374,358,29,80,7,c751f2ebd647b2348f59b2cb0c14e7c415fcb0fc6a51490296f01e2f9b12d38c,c751f2ebd647b2348f59b2cb0c14e7c415fcb0fc6a51490296f01e2f9b12d38c
