author,work,original_source_excerpt,cleaned_simplified_excerpt,normalized_han_context,gold,full_pinyin,initial_pinyin,composition_type,metadata_clean,simplification_ok,segmentation_ok,boundary_ok,pinyin_ok,composition_ok,notes
Re_spectators,取代反应,"欢迎回来，研究员。

项目编号：項目編號：CN-001

等级等級5

收容等级：收容等級：
机密

次要等级：次要等級：
Boltzmann

扰动等级：擾動等級：
dark

风险等级：風險等級：
警告

备忘录链接

SCP-CN-001-A在拉尼亚凯亚超星系团中的分布（图中黄色区域）。

特殊收容措施：项目无需亦无法被收容。这一现象在可预见的未来内不","欢迎回来，研究员。

项目编号：项目编号：CN-001

等级等级5

收容等级：收容等级：
机密

次要等级：次要等级：
Boltzmann

扰动等级：扰动等级：
dark

风险等级：风险等级：
警告

备忘录链接

SCP-CN-001-A在拉尼亚凯亚超星系团中的分布（图中黄色区域）。

特殊收容措施：项目无需亦无法被收容。这一现象在可预见的未来内不",,,,,cleaned_text,,,,,,,
Re_spectators,Re_spectators的提案,"致SCP CAPRICA首席研究员先生，
当你能看到这封信时，我首先应该祝贺你升任SCP CAPRICA首席研究员。你现在应该已经对SCP-CN-001的性质无比熟悉了。
我相信经过这么久的研究，你应该已经明白了SCP-CN-001与我们的距离并不像看上去那样遥远。现时的研究认为水的相对介电常数必须处于██±█████的范围内才可以保证碳元素发展出生命的能力","致SCP CAPRICA首席研究员先生，
当你能看到这封信时，我首先应该祝贺你升任SCP CAPRICA首席研究员。你现在应该已经对SCP-CN-001的性质无比熟悉了。
我相信经过这么久的研究，你应该已经明白了SCP-CN-001与我们的距离并不像看上去那样遥远。现时的研究认为水的相对介电常数必须处于██±█████的范围内才可以保证碳元素发展出生命的能力",,,,,cleaned_text,,,,,,,
Re_spectators,取代反应,,欢迎回来,欢迎,回来,hui lai,h l,short,,,,,,,
Re_spectators,取代反应,,欢迎回来研究员,欢迎回来,研究员,yan jiu yuan,y j y,short,,,,,,,
Re_spectators,取代反应,,欢迎回来研究员项目编号,欢迎回来研究员,项目编号,xiang mu bian hao,x m b h,short,,,,,,,
Re_spectators,取代反应,,欢迎回来研究员项目编号项目编号等级等级,欢迎回来研究员项目编号项目编号,等级等级,deng ji deng ji,d j d j,multi,,,,,,,
Re_spectators,取代反应,,欢迎回来研究员项目编号项目编号等级等级收容等级,欢迎回来研究员项目编号项目编号等级等级,收容等级,shou rong deng ji,s r d j,multi,,,,,,,
Re_spectators,取代反应,,欢迎回来研究员项目编号项目编号等级等级收容等级收容等级,欢迎回来研究员项目编号项目编号等级等级收容等级,收容等级,shou rong deng ji,s r d j,multi,,,,,,,
MScarlet,專訪重裝海豹人,"我是重裝海豹人，而這是我的板子。
她重482公克，搭載114514mAh的充電池，如果你要用最新版本的辦公室應用耗乾她的電池的話，需要花費長達…十二秒…
[海豹嚎笑]
噢等等，誰碰了芙蕾德Freedom醬？
誰碰了我的板子！！！

一聲驚雷把Scarlet博士從床上炸了起來。
他一骨碌地滾下床來，手忙腳亂地摸向尚有餘溫的被窩，當摸到光滑的塑膠質感時才稍為安心","我是重装海豹人，而这是我的板子。
她重482公克，搭载114514mAh的充电池，如果你要用最新版本的办公室应用耗干她的电池的话，需要花费长达…十二秒…
[海豹嚎笑]
噢等等，谁碰了芙蕾德Freedom酱？
谁碰了我的板子！！！

一声惊雷把Scarlet博士从床上炸了起来。
他一骨碌地滚下床来，手忙脚乱地摸向尚有余温的被窝，当摸到光滑的塑胶质感时才稍为安心",,,,,cleaned_text,,,,,,,
MScarlet,一頭會行走的海豹,"特殊收容措施：SCP-CN-1921目前被飼養於Sector-1921內部，Sector-1921對外公開為香城海洋樂園新開設的海豹展館，受Site-CN-71直接管轄。Sector-1921不設任何門扉，只通過視覺誤導以及逆模因避免遊客誤觸發其異常特性，並掩蓋站點的機密部份。SCP-CN-1921被安置在館內一個開放式海水池內，每天以機器投喂肉食。

在S","特殊收容措施：SCP-CN-1921目前被饲养于Sector-1921内部，Sector-1921对外公开为香城海洋乐园新开设的海豹展馆，受Site-CN-71直接管辖。Sector-1921不设任何门扉，只通过视觉误导以及逆模因避免游客误触发其异常特性，并掩盖站点的机密部份。SCP-CN-1921被安置在馆内一个开放式海水池内，每天以机器投喂肉食。

在S",,,,,cleaned_text,,,,,,,
MScarlet,專訪重裝海豹人,,我是,我,是,shi,s,short,,,,,,,
MScarlet,專訪重裝海豹人,,我是重装,我是,重装,zhong zhuang,z z,short,,,,,,,
MScarlet,專訪重裝海豹人,,我是重装海豹,我是重装,海豹,hai bao,h b,short,,,,,,,
MScarlet,專訪重裝海豹人,,我是重装海豹人,我,是重装海豹人,shi zhong zhuang hai bao ren,s z z h b r,multi,,,,,,,
MScarlet,專訪重裝海豹人,,我是重装海豹人,我是,重装海豹人,zhong zhuang hai bao ren,z z h b r,multi,,,,,,,
MScarlet,專訪重裝海豹人,,我是重装海豹人,我是重装,海豹人,hai bao ren,h b r,multi,,,,,,,
Etinjat,歌行：五次覔狂喜,"穷览幽冥虚沫析，乐吹疯笛震愚鼓
妄灵不识丧惊迷，随我梦玄堪一睹
旋臂长舒揽古云，拨星傧礼黑皇后
狂傩迭影舞红移，潮落激杯斟砾酒
掷洒蚀焚阿赖耶，赏观伪圣祭相戮
非无非有啸歌稠，吊虺窃形挛朽木
献我太初一切元，却闻卿爱戏骄客
秘团盗钥满贪痴，真理牢门开镜壁
紫魇提傀引旧神，证婚烙血赤王子
五分之五合中旋，绞破实弦缠界死

且裂我身影，且侵我空灵
鼓胀盲信之气结","穷览幽冥虚沫析，乐吹疯笛震愚鼓
妄灵不识丧惊迷，随我梦玄堪一睹
旋臂长舒揽古云，拨星傧礼黑皇后
狂傩迭影舞红移，潮落激杯斟砾酒
掷洒蚀焚阿赖耶，赏观伪圣祭相戮
非无非有啸歌稠，吊虺窃形挛朽木
献我太初一切元，却闻卿爱戏骄客
秘团盗钥满贪痴，真理牢门开镜壁
紫魇提傀引旧神，证婚烙血赤王子
五分之五合中旋，绞破实弦缠界死

且裂我身影，且侵我空灵
鼓胀盲信之气结",,,,,cleaned_text,,,,,,,
Etinjat,愚者史诗 —— 缢王深殿里,"隐藏 移出鼠标 | 关闭

+ 进行评分

- 进行评分

题：缢王诗行
起：日落王城
承：沉沦幽林
转：毁灭宿命
合：缢王未死
起：玄冥之下
跋：愚者之血

回到标题
跳至底部

题

《缢王深殿里》又作《缢王诗行》，总叙狄瓦之王遗事。原编者不详，然伪斯韦登伯格稿本题跋作“愚者”。据信该文成书并非一时，亦见杂有《蛇说》、《三坟》、《那梨石前纪》、《旧世之火","隐藏 移出鼠标 | 关闭

+ 进行评分

- 进行评分

题：缢王诗行
起：日落王城
承：沉沦幽林
转：毁灭宿命
合：缢王未死
起：玄冥之下
跋：愚者之血

回到标题
跳至底部

题

《缢王深殿里》又作《缢王诗行》，总叙狄瓦之王遗事。原编者不详，然伪斯韦登伯格稿本题跋作“愚者”。据信该文成书并非一时，亦见杂有《蛇说》、《三坟》、《那梨石前纪》、《旧世之火",,,,,cleaned_text,,,,,,,
Etinjat,歌行：五次覔狂喜,,穷览幽冥,穷览,幽冥,you ming,y m,short,,,,,,,
Etinjat,歌行：五次覔狂喜,,穷览幽冥虚沫析,穷览幽冥,虚沫析,xu mo xi,x m x,short,,,,,,,
Etinjat,歌行：五次覔狂喜,,穷览幽冥虚沫析乐吹,穷览幽冥虚沫析,乐吹,le chui,l c,short,,,,,,,
Etinjat,歌行：五次覔狂喜,,穷览幽冥虚沫析,穷览,幽冥虚沫析,you ming xu mo xi,y m x m x,multi,,,,,,,
Etinjat,歌行：五次覔狂喜,,穷览幽冥虚沫析乐吹疯笛震愚鼓,穷览幽冥虚沫析,乐吹疯笛震愚鼓,le chui feng di zhen yu gu,l c f d z y g,multi,,,,,,,
Etinjat,歌行：五次覔狂喜,,穷览幽冥虚沫析乐吹疯笛震愚鼓,穷览幽冥虚沫析乐吹,疯笛震愚鼓,feng di zhen yu gu,f d z y g,multi,,,,,,,
Agent Phage,迟来的光芒随风而去,"Sally是在那栋已经被废弃的建筑里找到这个人的。她当然不认识他，任何一丝熟悉的感觉都没有。她那天本来是抱着碰碰运气的想法翻进这栋建筑的，想找找看还有没有能用的吃的。就在她边哼着小曲边推着一购物车的还没完全腐烂的罐头，满心欢喜的想着今天怎么这么走运时，不经意间的一睹，让那个人的生命开始与她产生交集。
这其实是一个循序渐进的过程。映入Sally眼帘的首先是那件","Sally是在那栋已经被废弃的建筑里找到这个人的。她当然不认识他，任何一丝熟悉的感觉都没有。她那天本来是抱着碰碰运气的想法翻进这栋建筑的，想找找看还有没有能用的吃的。就在她边哼着小曲边推着一购物车的还没完全腐烂的罐头，满心欢喜的想着今天怎么这么走运时，不经意间的一睹，让那个人的生命开始与她产生交集。
这其实是一个循序渐进的过程。映入Sally眼帘的首先是那件",,,,,cleaned_text,,,,,,,
Agent Phage,Carroll 122 号：虚空之名,"RAISA 档案：相关组织 [已解散]
GOI-001：芝加哥鬼灵
档案创建日期：约 1928年
GOI 对本文档最后编辑日期：1933年7月
档案回收日期：1933年9月
[以下为原文重现]1

{Carroll 122:}

{虚空之名}

这一封凭空产生的信，署的是其中一个名字。我们没人去写这玩意，事情就怪在这。

{我们获于何处}

这些名字是老板从","RAISA 档案：相关组织 [已解散]
GOI-001：芝加哥鬼灵
档案创建日期：约 1928年
GOI 对本文档最后编辑日期：1933年7月
档案回收日期：1933年9月
[以下为原文重现]1

{Carroll 122:}

{虚空之名}

这一封凭空产生的信，署的是其中一个名字。我们没人去写这玩意，事情就怪在这。

{我们获于何处}

这些名字是老板从",,,,,cleaned_text,,,,,,,
Agent Phage,迟来的光芒随风而去,,是在,是,在,zai,z,short,,,,,,,
Agent Phage,迟来的光芒随风而去,,是在那栋,是在,那栋,na dong,n d,short,,,,,,,
Agent Phage,迟来的光芒随风而去,,是在那栋已经,是在那栋,已经,yi jing,y j,short,,,,,,,
Agent Phage,迟来的光芒随风而去,,是在那栋已经被,是,在那栋已经被,zai na dong yi jing bei,z n d y j b,multi,,,,,,,
Agent Phage,迟来的光芒随风而去,,是在那栋已经被废弃,是在,那栋已经被废弃,na dong yi jing bei fei qi,n d y j b f q,multi,,,,,,,
Agent Phage,迟来的光芒随风而去,,是在那栋已经被废弃的,是在那栋,已经被废弃的,yi jing bei fei qi de,y j b f q d,multi,,,,,,,
QBLevi,基金会内参（2018年8月刊）,"月度风云人物：前任特工Asriel

Wendell Asriel是中国分部91站点所属的一名外勤特工。他于本月初发布了一系列由自身研究得出的文档插件代码，为基金会文书工作带来了巨大的改变。
至月底，基金已经有63万名文员、21万名研究员和5万名高级研究员采用了这些文档插件代码，致使基金会文书工作的整体效率提高了52.6%。大量时间被节省下来，用以更好地进行","月度风云人物：前任特工Asriel

Wendell Asriel是中国分部91站点所属的一名外勤特工。他于本月初发布了一系列由自身研究得出的文档插件代码，为基金会文书工作带来了巨大的改变。
至月底，基金已经有63万名文员、21万名研究员和5万名高级研究员采用了这些文档插件代码，致使基金会文书工作的整体效率提高了52.6%。大量时间被节省下来，用以更好地进行",,,,,cleaned_text,,,,,,,
QBLevi,凌晨星,"一艘平平常常太空船，两个普普通通地球人。
超空间诡异的幻彩褪去，我们完成了最后一次迁跃航行。目标星系在我们面前展现。
“又是太空中平静的一天，哈？”我的搭档，特工Asriel告死天使一手驾轻就熟地控制着引擎节流阀，一手将塔可送入口中。
这家伙技术精湛，就是有点散漫。我叹息道：“你该感谢麻烦没来找你。”
“我知道，我知道。”Asriel咽下最后一口塔可，“常规","一艘平平常常太空船，两个普普通通地球人。
超空间诡异的幻彩褪去，我们完成了最后一次迁跃航行。目标星系在我们面前展现。
“又是太空中平静的一天，哈？”我的搭档，特工Asriel告死天使一手驾轻就熟地控制着引擎节流阀，一手将塔可送入口中。
这家伙技术精湛，就是有点散漫。我叹息道：“你该感谢麻烦没来找你。”
“我知道，我知道。”Asriel咽下最后一口塔可，“常规",,,,,cleaned_text,,,,,,,
QBLevi,基金会内参（2018年8月刊）,,月度风云人物,月度,风云人物,feng yun ren wu,f y r w,short,,,,,,,
QBLevi,基金会内参（2018年8月刊）,,月度风云人物前任,月度风云人物,前任,qian ren,q r,short,,,,,,,
QBLevi,基金会内参（2018年8月刊）,,月度风云人物前任特工,月度风云人物前任,特工,te gong,t g,short,,,,,,,
QBLevi,基金会内参（2018年8月刊）,,月度风云人物前任特工,月度风云人物,前任特工,qian ren te gong,q r t g,multi,,,,,,,
QBLevi,基金会内参（2018年8月刊）,,月度风云人物前任特工是中国分部,月度风云人物前任特工,是中国分部,shi zhong guo fen bu,s z g f b,multi,,,,,,,
QBLevi,基金会内参（2018年8月刊）,,月度风云人物前任特工是中国分部,月度风云人物前任特工是,中国分部,zhong guo fen bu,z g f b,multi,,,,,,,
breaddddd,梦境搬家,"项目编号：SCP-CN-737
项目等级：Safe Euclid
特殊收容措施：SCP-CN-737存放于Site-CN-16的标准收容室中。若需进行任何SCP-CN-737与其他梦神集团、梦境或睡眠相关的异常进行交互实验，请向夜幽梦部门提交申请。需留意各大家电卖家及商场以快速获知其他疑似SCP-CN-737的情况。
描述：SCP-CN-737是一台家用手持","项目编号：SCP-CN-737
项目等级：Safe Euclid
特殊收容措施：SCP-CN-737存放于Site-CN-16的标准收容室中。若需进行任何SCP-CN-737与其他梦神集团、梦境或睡眠相关的异常进行交互实验，请向夜幽梦部门提交申请。需留意各大家电卖家及商场以快速获知其他疑似SCP-CN-737的情况。
描述：SCP-CN-737是一台家用手持",,,,,cleaned_text,,,,,,,
breaddddd,小问号的朋友,"本文节选自《符号伦理学幼教版 中班下》第二册第五章的一段课文。

小问号的朋友

?

小问号一直没有朋友。有一天，感叹号跑来找小问号，想和它做朋友。

? ！

小问号说：“不行，我不能和你做朋友。”
感叹号不明白，于是问小问号为什么。
小问号哭着说：“因为我们字号不一样啊！”
感叹号这才发现，它是感叹号，而小问号是小问号。感叹号对自己的无知感到惊叹，而由","本文节选自《符号伦理学幼教版 中班下》第二册第五章的一段课文。

小问号的朋友

?

小问号一直没有朋友。有一天，感叹号跑来找小问号，想和它做朋友。

? ！

小问号说：“不行，我不能和你做朋友。”
感叹号不明白，于是问小问号为什么。
小问号哭着说：“因为我们字号不一样啊！”
感叹号这才发现，它是感叹号，而小问号是小问号。感叹号对自己的无知感到惊叹，而由",,,,,cleaned_text,,,,,,,
breaddddd,梦境搬家,,项目编号项目,项目编号,项目,xiang mu,x m,short,,,,,,,
breaddddd,梦境搬家,,项目编号项目等级,项目编号项目,等级,deng ji,d j,short,,,,,,,
breaddddd,梦境搬家,,项目编号项目等级特殊,项目编号项目等级,特殊,te shu,t s,short,,,,,,,
breaddddd,梦境搬家,,项目编号项目等级,项目编号,项目等级,xiang mu deng ji,x m d j,multi,,,,,,,
breaddddd,梦境搬家,,项目编号项目等级特殊收容措施,项目编号项目等级,特殊收容措施,te shu shou rong cuo shi,t s s r c s,multi,,,,,,,
breaddddd,梦境搬家,,项目编号项目等级特殊收容措施,项目编号项目等级特殊,收容措施,shou rong cuo shi,s r c s,multi,,,,,,,
