author,work,source_position_start,source_position_end,removal_rule,removed_text,before_context,after_context,removal_ok,notes
Re_spectators,取代反应,0,1008,source_confirmed_credit_module_prefix,"著作信息




SCP-CN-001：Re_spectators的提案 - 取代反应
作者：Re_spectators
→ 查看本文作者的更多作品，请点击此处←

图像信息：
I. SCP CAPRICA的标志、文字和相关图片及Boltzmann等级的标志均为作者本人创作。
II. 文中“加载箭头”标志(http://scpsandboxcn.wdfiles.com/local--files/site-cn-13/2) 为作者本人创作。
III. 正文中关于拉尼亚凯亚的图片(http://scpsandboxcn.wdfiles.com/local--files/boltzmann/Laniakea.png) 按照CC-BY-SA 4.0协议改编自Andrew Z. Colvin的作品：http://commons.wikimedia.org/w/index.php?curid=71065242
IV. 正文中关于SCP-CN-001-A对化学反应活化能的示意图(http://scpsandboxcn.wdfiles.com/local--resized-images/boltzmann/EA/medium.jpg) 为作者本人创作。
V. 正文中关于石柱群的图片(http://pokm.wdfiles.com/local--files/substitution-reaction-en/800px-Uummannaq-mountain-southeastern-pillar-trabants.jpg) 按照CC-BY-SA 3.0协议引用自Algkalv的摄影作品：https://commons.wikimedia.org/wiki/File:Uummannaq-mountain-southeastern-pillar-trabants.jpg
VI. 正文中金刚石内部图片( http://pokm.wdfiles.com/local--files/substitution-reaction-en/kaleidoscope ) 改编自pixabay上的作品 https://pixabay.com/photos/kaleidoscope-kaleidoscopic-color-674511 ，遵守pixabay协议。












你已经被警告过了。


权限验证通过。",,"欢迎回来，研究员。








项目编号：項目編號：CN-001









等级等級5







收容等级：收容等級：
机密


次要等级：次要等級：
Boltzmann



扰动等级：擾動等級：
dark


风险等级：風險等級：
警告



备忘录链接




















SC",,
Re_spectators,盐之子,0,399,source_confirmed_credit_module_prefix,"著作信息
















        X




SCP-CN-2335 - 盐之子
作者：Re_spectators
→ 查看本文作者的更多作品，请点击此处←
特别感谢62ECN 在本文写作过程中给予的宝贵意见！
愿我们的文明与痕迹永存。
















返回













来自HMCL管理员的提醒：你正在试图访问一个已无效化的项目。
SCP-CN-2335已无效化。项目的文档依循对项目的了解程度而发生多次变更。若需要查阅档案，请访问下面的迭代。





迭代I 更新于▇/▇/1984
迭代II 更新于▇/▇/1988
迭代III 更新于▇/▇▇/1991


",,"项目编号：SCP-CN-2335
项目等级：Safe
特殊收容措施：任何产自中国内蒙古▇▇▇▇▇▇盐沼的原盐1都不应被用于任何非异常研究的用途。相关样品一经发现即应被立即提交给CAPRICA；HMCL研究团队应以多种表征手段确认所呈递的样品是否满足SCP-CN-2335的异常性质。若任何员工不慎服用此类物质，应每日向所",,
MScarlet,碎命眼鏡,0,351,source_confirmed_credit_module_prefix,"著作信息
















        X




SCP-CN-070：碎命眼鏡
作者：MScarlet，點此觀看我寫的其他作品
作者的最初之作，三次重寫版

圖片授權：
照片均為個人拍攝
是我的兩副舊眼鏡啦



更多


























更多



本作絕無影射任何人物，在本文初版發佈時某個涉及到黑框眼鏡的網絡模因還沒流行起來。
說這些是想說，你們不要見風就是雨，亂膜一通啦(
















返回













SCP-CN-070

",,"項目編號：SCP-CN-070
項目等級：Safe
特殊收容設施：SCP-CN-070被收容於Site-CN-71的高價物品收容區的儲物櫃中，與項目相關的測試需3級以上的人員批准，在使用項目時應儘可能避免使配戴者觀察到自己。
描述：SCP-CN-070是一副黑色半框眼鏡，所有眼睛健在的人能透過它以2.0的視力視物，鏡框",,
MScarlet,學生檔案—S11013387,0,2207,source_confirmed_credit_module_prefix,"著作信息




學生檔案—S11013387，又名：FULL COMBO！先生
作者：MScarlet，點此觀看我寫的其他作品
聖克莉斯汀娜書院的GOI格式，中國產反大麻先生之一

延伸閱讀：
UIU城市檔案：香城
反大麻玩家中心页

特別嗚謝：

breaddddd提供的版式參考，因此特地讓你家的LETTERS客串了一把

















教務處


中級加密文件


學生個人檔案


部分一：學生校內資訊


學生姓名
石貴川
學生編號
S11013387
入讀年份
2005年


隸屬院舍
東舍/南舍/西舍/北舍
就讀級別
高二級 不適用


必修科會
電子科


選修科會
遊戲學會；音樂學會；文學科


部分二：學生個人資訊


性別
男/女
身高
173 cm
體重
65 kg


種族
人類 種．漢 族
出生日期
1993 年6 月4 日


所屬相位
左/右/香城
籍貫
中國香港


香城居民證號
L3568796421(3)
香港身份證號
Y9563242(1)


住址
不適用


部分三：超技術相關資訊


身體改造
是/否
超常能力
是/潛在/否
奇術等級
無


改造內容
．布拉瓦茨基式腦波增幅術
．植入式共振穩定器
．烙印型文字紋身


能力概述
．初級修復型現實扭曲才能，使「不完整」的概念以自己的方式修復成「完整」
．能自己生成有限的工具協助修復
．具不穩定性及不可控性，有時會隨該學生的念頭而自行激發，會對身體造成很大的負荷。
．被修復的事物也會快速出現劣化或異常的狀況，目前尚未出現因此而造成的致命事件。


可使用奇術
不適用


最終更新：20130415





教務處


中級加密文件


學生個人檔案


部分四：學生年表


+ 2005


+ 2006


+ 2007


+ 2008


+ 2009


+ 2010


+ 2011


+ 2012


- 2013


0312： 在每月例行身體檢查中，己確認石貴川同學的潛在現實扭曲才能已經被激發，是為修復型的才能。資料己更新。 — Liu，護理學會
　． 另外，他的才能在控制方面似乎很不穩定，腦部及頸部似乎進行過改造手術。建議向他套取一下他激發潛能的經過。 — Liu


0313： 已安排學生輔導組為石貴川同學進行了一次訪談(附錄1)，可以肯定他的才能的激發是經過人為的干預。我會讓一下內事部的同事幫個忙，[已加密，限內事部及訓導組高級職員查閱]，順便幫他處理一下他無意中造就的爛攤子。 — Lee，訓導組


0317： 從於石貴川同學發現的紋身(附錄2)看，推測他是青年超技術網絡群體「反大麻玩家」的行為藝術受害者，已委託外事部的因果科畢業生追查石同學和反大麻玩家之間的因果關係。 — Lee，訓導組


0318： 從今天收到，來自反大麻玩家的信件(附錄4)看，可以確定石貴川同學的遭遇是和反大麻玩家的「偽小小先生」行為藝術有關。根據我校的《對外原則》第一條，已向外事部追加向加害我校學生的反大麻玩家成員施行懲罰的要求。 — Lee，訓導組


0320： 已追溯到向石貴川同學施以改造手術的反大麻玩家成員兩名，已向他們施加「對等報復」懲戒：於臉上刺上""向純潔學生出手的敗類，由反大麻玩家出品""字樣的烙印式紋身。 — B.L.，外事部。


0331： 從內事部收集到的資料看，[已加密，限內事部及訓導組高級職員查閱]，我校對現實扭曲才能的研究不足以處理他那日益失控的情況。最壞的打算是透過""維肯的壓抑儀式""將他的才能重新壓制到潛在的等級，但有較大的機率使他的現實扭曲才能直接消失。需要問問石貴川同學本人的意見。 — Lee，訓導組


0401： 學生石貴川的檔案我已經看過了，訓導組的應對十分不錯。但他的才能十分有潛力，是極優秀的修復者，不能就這樣被埋沒。我會跟杏壇那邊聯繫一下；最好的苗子需要最好的環境栽培。 — Principal，校董會


0405： 遵從校長先生的安排，已讓石貴川同學緊急加入2013-14年度的本地交換生計劃，和杏壇中學的同級學生進行短期交流學習。希望他們能幫助他學會掌控自己的才能。 — Lee，訓導組


0415： 石貴川同學已以短期交換生的身份暫時轉讀香城杏壇中學，為期三學期。學生資料已更新。 — Wong


最終更新：20130415






附件1
附件2
附件3
附件4





學生輔導組


中級加密文件


訪談記錄


記錄編號
20130313-50


學生姓名
石貴川


學生編號
S11013387


訪談者
Koo，心理科客席講師，輔導組中級輔導員


受訪者
石貴川，電子科高二級學生，下簡稱""石""


於昨天(0312)的例行身體檢查中發現，石貴川同學潛在的現實扭曲才能已被激活。但與此同時，在綜合性內部掃描的過程中，在石貴川同學的腦部及頸部中發現了接受過改造手術的跡象。為了確認石同學的潛能被激發時的經過，以及評估其心理狀況，本組接受訓導組的委託，為石貴川同學進行一次訪談。


最終更新：20130313



▶ SGD_Interview_20130313-50.wav

▉ SGD_Interview_20130313-50.wav


<記錄開始>",,"Koo： 開始錄音了嗎？很好。那麼我們開始吧。你好，石貴川同學，我是學生輔導組派來的義工，你叫我Ocean或者阿海就好。首先石同學，你對你來到這裡有任何疑問嗎？
石： 是…是的，請問這是不是跟昨天的身體檢查有關？
Koo： 這個嘛…有點關係吧，但目前來說也就是向你打聽一點東西而已。那麼你最近幾天有沒有出現過頭疼還有幻聽",,
MScarlet,當魔法與奇術交織之時,0,340,source_confirmed_credit_module_prefix,"著作信息




SCP-CN-1997：當魔法與奇術交織之時
作者：MScarlet，點此觀看我寫的其他作品
SCP-CN-1000 “流传” 竞赛參賽作品
全名：當魔法與奇術、左與右、神代與現代、基金會與築基會交織之時

延伸閱讀：
UIU城市檔案：香城
林士站
真正的遺產
Gp快递：Un-Che-B9942420，鳳凰族的創世學/化學教材

圖片授權：
古洞站圖片引用自維基百科，拍攝者為Baycrest，符合CC BY-SA 2.5標準
基金會圖標取自Mackenzie博士的素描本，作者Aelanna，符合CC BY-SA 3.0標準
其他圖片均為個人拍攝及製作

特別嗚謝：

Jochoi和他寫的林士站故事
Etinjat設計的假標簽代碼











",,"項目編號：SCP-CN-1997
項目等級：Keter Euclid
特殊收容措施：由於SCP-CN-1997的異次元性質以及SCP-CN-1997-1在異常社區的中立性，SCP-CN-1997目前無法完全被收容。為了維護對SCP-CN-1997與基準世界之間的相位平衡，機動特遣隊癸酉-10「結界法師」將加入「天牆維護",,
MScarlet,Gp快递：Un-Che-B9942420，鳳凰族的創世學/化學教材,0,4446,source_confirmed_credit_module_prefix,"/*!
 * jQuery JavaScript Library v3.2.1
 * https://jquery.com/
 *
 * Includes Sizzle.js
 * https://sizzlejs.com/
 *
 * Copyright JS Foundation and other contributors
 * Released under the MIT license
 * https://jquery.org/license
 *
 * Date: 2017-03-20T18:59Z
 */
//---------------------------
//ProjectName: Credit Module
//FunctionName: Back Module
//CreatedBy C-take , sinazugawa
//License MIT
//---------------------------
$(function() {
    var ua = navigator.userAgent.toLowerCase();
    var bReload= true;
    if ( ( ua.indexOf(""applewebkit"") >= 0 || ua.indexOf(""firefox"") >= 0 ) && ua.indexOf(""edge"") == -1 )
        bReload= false;

    $('.fader').on(""click"",closeCredit);
    function closeCredit() {
        if ( bReload ) {
            history.go(-1);
            parent.location.href = document.referrer.split('#')[0];
        } else {
            history.go(-1);
        }

        $('.fader').off(""click"");
        setTimeout(function(){
            $('.fader').on(""click"",closeCredit);
        },1200);
    }
});


.fader {
    width: 100%;
    height: 100%;
    position: fixed;
}











著作信息











        body{
        background:transparent;
        padding:0;
        font-family:verdana,arial,helvetica,sans-serif;
        font-size:0.80em;
        }
        a{
        color:#b01;
        }
        a:hover{
        text-decoration:underline;
        }



        $(function() {
        var ua = navigator.userAgent.toLowerCase();
        var bReload= true;
        if ( ( ua.indexOf(""applewebkit"") >= 0 || ua.indexOf(""firefox"") >= 0 ) && ua.indexOf(""edge"") == -1 )
        bReload= false;
        $('.back').click(closeCredit);
        function closeCredit() {
        if ( bReload ) {
        history.go(-1);
        parent.location.href = document.referrer.split('#')[0];
        } else {
        history.go(-1);
        }
        return false;
        }
        });




        X




Gp快递：Un-Che-B9942420，鳳凰族的創世學/化學教材
作者：MScarlet，點此觀看我寫的其他作品
Gp快递的GOI格式

延伸閱讀：
UIU城市檔案：香城
「幸運的」凡琴
SCP-CN-326
SCP-CN-1997

圖片授權：
特區區徽取自維基共享資源，屬於公有領域資源。而且並未對其作出任何修改，亦非用於商標及廣告，並未違反特區政府的《區旗及區徽條例》。
蛇手及GOC標誌取自各自的中心頁，作者分別為Zyn和DrClef，符合CC-A-SA 3.0標準



更多















/*!
 * jQuery JavaScript Library v3.2.1
 * https://jquery.com/
 *
 * Includes Sizzle.js
 * https://sizzlejs.com/
 *
 * Copyright JS Foundation and other contributors
 * Released under the MIT license
 * https://jquery.org/license
 *
 * Date: 2017-03-20T18:59Z
 */
//---------------------------
//ProjectName: Credit Module
//FunctionName: Back Module
//CreatedBy C-take , sinazugawa
//License MIT
//---------------------------
$(function() {
    var ua = navigator.userAgent.toLowerCase();
    var bReload= true;
    if ( ( ua.indexOf(""applewebkit"") >= 0 || ua.indexOf(""firefox"") >= 0 ) && ua.indexOf(""edge"") == -1 )
        bReload= false;

    $('.fader').click(closeCredit);
    function closeCredit() {
        if ( bReload ) {
            history.go(-2);
            parent.location.href = document.referrer.split('#')[0];
        } else {
            history.go(-2);
        }
    }
});


.fader {
    width: 100%;
    height: 100%;
    position: fixed;
}











更多



靈感來源：Elemental Creation by dj TAKA meets DJ YOSHITAKA
油管源
少打音遊多讀書











body{
background:transparent;
padding:0;
font-family:verdana,arial,helvetica,sans-serif;
font-size:0.80em;
}
a{
color:#b01;
}
a:hover{
text-decoration:underline;
}



/*!
 * jQuery JavaScript Library v3.2.1
 * https://jquery.com/
 *
 * Includes Sizzle.js
 * https://sizzlejs.com/
 *
 * Copyright JS Foundation and other contributors
 * Released under the MIT license
 * https://jquery.org/license
 *
 * Date: 2017-03-20T18:59Z
 */
//---------------------------
//ProjectName: Credit Module
//FunctionName: Back Module
//CreatedBy C-take , sinazugawa
//License MIT
//---------------------------
$(function() {
    var ua = navigator.userAgent.toLowerCase();
    var bReload= true;
    if ( ( ua.indexOf(""applewebkit"") >= 0 || ua.indexOf(""firefox"") >= 0 ) && ua.indexOf(""edge"") == -1 )
        bReload= false;

    $('.back').click(closeCredit);
    function closeCredit() {
        if ( bReload ) {
            history.go(-1);
            parent.location.href = document.referrer.split('#')[0];
        } else {
            history.go(-1);
        }
        return false;
    }
});




返回
















",,"Gp快递归档数据库









搜索
Gp/Un-Che-B9942420







快递信息


收件
日期
2016年4月24日
收件人
 顾主任


地址
 香城 西区 沙田马料水校区 圣克莉丝汀娜书院
运费
 40000$32000$


发件人
Rinka.H
配送
方式
 普通快递


派送",,
MScarlet,仙畫幻界，彼世遺民,0,288,source_confirmed_credit_module_prefix,"著作信息




SCP-CN-280：仙畫幻界，彼世遺民
作者：MScarlet，點此觀看我寫的其他作品
重寫版本，原標題：石室獄卒

延伸閱讀：
SCP-CN-326
SCP-CN-570
SCP-CN-1997
Remywiki:Tomosuke Funaki

圖片授權：
山洞圖片引用自 維基共享資源，拍攝者為Clchen711，符合CC BY-SA 3.0標準



更多











更多



靈感來源：
1.量子の海のリントヴルム by 黒猫ダンジョン
油管源
2.龍と少女とデコヒーレンス by 黒猫ダンジョン
油管源












",,"項目編號：SCP-CN-280
3/CN280级


項目等級：Keter
機密



特殊收容措施：由於SCP-CN-280-2無法移動的特性，且SCP-CN-280-1與之相連，SCP-CN-280-2與SCP-CN-280-1一同就地收容於原發現地點，項目所在的火石洲及周邊5公里的海域及島嶼現已被基金會封鎖，並於",,
MScarlet,4k序曲：基金會幻時代,0,490,source_confirmed_credit_module_prefix,"著作信息
















        X




4k序曲：基金會幻時代
作者：MScarlet，點此觀看我寫的其他作品
基金会4K設定下的前傳故事

延伸閱讀：
4K序曲：梦魇摄政红行动
4K序曲：从今往后，直到永远
4K序曲：更好的理念

圖片授權：
無

特別嗚謝：

Abigail_Ade、Infas12、Agent Phage等Linkage群群友肯看我的點子，你們不康我也不會寫的(




更多


























更多



靈感來源：Frostpunk/冰汽時代
我們活下來了，但這一切都值得嗎？
















返回











我跟你說，你根本無法想像當時我看見那個畫面的時候的表情……
啊！你來了，請，隨便坐…你問我們在談什麼？當然，是遊戲的事兒啊。你也想聽？當然沒問題，來來，咱長話再短說一下哈。",,"那是兩年前的夏天，那個Steam平台往所有地區的首頁都推送了一款遊戲。沒人知道那家叫""LETTERS Entertainment""的製作商是什麼來頭，但是從預告片和介紹文本來說，他們推出的是一款做的極其精致的模擬經營遊戲。細致的畫面細節、容易上手又容易上癮的玩法、適宜的價格，吸引了不少人購買來遊玩。「下一年」這個名詞馬",,
MScarlet,免 費 Wi-fi 隨 處 用,0,515,source_confirmed_credit_module_prefix,"著作信息
















        X




SCP-CN-1144：免 費 Wi-fi 隨 處 用
作者：MScarlet，點此觀看我寫的其他作品
linkAge設定下的原創SCP

延伸閱讀：
入教送Wi-Fi
說個故事吧——故事內設定跟本篇有一定出入 加油添醋是說書人的天賦技能
噢，我感觉到了，我感觉到了整个宇宙！——使用了此篇內的對話框格式

圖片授權：
附圖以個人設備屏拍修改而成，使用CC-BY-SA授權

特別嗚謝：

Simon Arran、Agent Phage、以及linkAge群眾人就校對，反饋方面提供的協助，還給我找了個好康的聊天室對話框！




更多


























更多



明日方舟真好玩
一管體力6個扭轉醇這是什麼神仙地圖？！
10石頭+十抽劵？！十抽劵還出了羊？！請問鷹衛兵收不收海豹？？(
















返回










",,"項目編號：SCP-CN-1144
項目等級：Euclid
特殊收容措施：由於SCP-CN-1144目前尚未完全被收容，基金會目前的收容方針集中於屏蔽SCP-CN-1144、辨識並定位SCP-CN-1144-1、追捕POI-11144、以及尋找安全消除SCP-CN-1144-1的腦內植入物的方法共四方面。
基金會已對Wi",,
MScarlet,那熔蝕根基的熔岩之地,0,451,source_confirmed_credit_module_prefix,"著作信息
















        X




那熔蝕根基的熔岩之地
作者：MScarlet，點此觀看我寫的其他作品
“罪”征文竞赛參賽作品

延伸閱讀：
真正的遺產 - 前作
港．城．江 - 套用的設定
SCP-CN-1997 - 故事的舞台

特別嗚謝：
Holy_Darklight - 天啊！時隔三年HD又死了！真沒人性！
nautilus_x、milk2015、Freedom Koo - 未得到其本人同意的客串演出（x



更多


























更多



靈感來源：
1. Floor of Lava by Ice
油管源
Cytus II初代魔王曲
嗶 — 嗶嗶嗶 — 嗶嗶（絕望）
















返回













",,"Darklight學士永遠無法忘記4186年的那一天晚上。
那一晚只是一晚寧靜的夏夜，山腳下的城市逐漸收儉光芒，附近能見的只有來自其他學士塔的燈光。塔內的收容措施運行的很完美，兩天前大修完的太陽爐也在穩定地維持著周遭的神能濃度。他飼養的那位海螺族秘書也完成了今天的工作，在她的專用大水缸裡睡的死死的，可是個平和的晚上……",,
