author,author_id,work_id,work_title,creation_date,source_hash,cleaned_text_hash,eligible_anchor_count,chronological_index,split
Re_spectators,da-author-re-spectators-464e4708,da-work-66105575,扩散性缸中之脑,2018-02-28,d033cdced582aa7368981fee8af05a46e660b62408deba9f1b64706342b66978,f9f1de168c174792fb16afaa67289cdb5c46d8f791a3963b28b51ce7db57b25c,400,0,history
Re_spectators,da-author-re-spectators-464e4708,da-work-66381882,五角场,2018-03-04,0d06e67f94a27b96c969ce1551f33697853e87f23f6b125ca29a646e37fa7386,1e785fe799312c6f996e5fdbac0b7f08ca9ea4d2785aec7b97138f6be6c6a0e9,420,1,history
Re_spectators,da-author-re-spectators-464e4708,da-work-66450039,破碎的创世纪,2018-03-05,4b6f9aa8b262db2e496c682e70c441389dffe261ee769bb24e0806b6a451915c,376e38d168cd51f8952f404e0c28caafc0efa60a45327d6f5d99717ba3110d94,1218,2,history
Re_spectators,da-author-re-spectators-464e4708,da-work-66896600,Site-CN-13,2018-03-10,d30a6e05ad7d938493a9ea1206aed4aaa4aa5ef899f8ae7bb68a3011731cf477,daddce50e9eafe4eae6aa1d343b484548418298f7cd567e2112583e5d07382eb,995,3,history
Re_spectators,da-author-re-spectators-464e4708,da-work-66984978,SCP-CN-991,2018-03-12,93c9a1a8490413c90473338d92471ad7e4049c9c4f835a967efdbc700aa032c4,eed8ac69aafafc33ce444020bd67740e00d998519d925cabcf22fa684cf26625,2055,4,history
Re_spectators,da-author-re-spectators-464e4708,da-work-66985017,1999,2018-03-12,5d9d531fa63a382c653c8fda6e5f8a1fdceb5c70a6f71feb5a82c5b0465bcecb,317f8df68693d15add4acf315c9d0cb1217891cab30392377867b294a20a4f56,478,5,history
Re_spectators,da-author-re-spectators-464e4708,da-work-1022073917,取代反应,2020-04-02,6aaa78e922030522d9507f401e0f8fdb78ecb968970b3167b6d094307261163e,32252a67c4d6dc123f55ec3ff9eb46c7ce8c2cafa1f4d1ff86adc831a4354af0,1635,6,history
Re_spectators,da-author-re-spectators-464e4708,da-work-1022095056,Re_spectators的提案,2020-04-02,2681d93eb897a9a57de62ebd0f8ee9508091e309f882a61750bfa236719b0aa4,897e646d09705c37375851b09c818ebd6b12ea9097fda8a6f6247683b38a2241,326,7,history
Re_spectators,da-author-re-spectators-464e4708,da-work-1026154822,一花一世界,2020-04-25,20671010148dffb68635b4cdfdad10e3488aa9ba833932cfbedf6d82046b626d,e1157ce4a5739c5ae789079c3f12af74dbe98f0aadc9f59bcaa25f9328e6a370,2466,8,history
Re_spectators,da-author-re-spectators-464e4708,da-work-1026154861,SCP-CN-1827,2020-04-25,d3035abfffc831f3c783f0be07c1c17ab719f21eeb851536d494cc7ab71df193,da974da1bf9061377c9e03fdce7096426447a475acb751036e7fd14503d2c8c2,257,9,history
Re_spectators,da-author-re-spectators-464e4708,da-work-1035036156,青鸟,2020-05-03,cfce5ca02c938b2f886287c7856bb7374edd9a4cb5960d85865e471b5f49b9fa,9ece874ebce985f1fffa3073c5dda3ae6192c4e57c06b9db4e22c4e34feb8601,747,10,history
Re_spectators,da-author-re-spectators-464e4708,da-work-1306943399,混沌理论,2021-02-17,d276aa9b150dc782337cb45a0335a82e76a76a662c61c9438fd537865915275b,caf2a4a86b8b7c61ff8426e3fc1be64418aa38c2a466f346314035b3cbc0c38c,199,11,dev
Re_spectators,da-author-re-spectators-464e4708,da-work-1307368226,盐之子,2021-03-16,275c4150d8be5cf534787e8e2656190f80ce43a332d87abe078478283efcefed,f06cef27d2a554815d9722995c544ffdc9b14015073659f61b0a2d484599ae7b,1083,12,dev
Re_spectators,da-author-re-spectators-464e4708,da-work-1310969119,梦见天堂,2021-05-05,224d34557add5029b05e38f6a642d52e4edded2e084ad86fe50e43a136b68dd1,60d3fcbe74575d6ace6f5f3fc5735bce1ce3d2ff93e34c4b935eeb6c05852290,416,13,test
Re_spectators,da-author-re-spectators-464e4708,da-work-1312042098,解密：SCP-CN-1353 - 地西泮仪式,2021-06-11,641c9b5ce91e8fc1ced990269054603370317122475b69b88a4358f32fb25148,f74b858db808d9aa5ea1fe9bf4f3fd3fcd3f85c0ba58ba0f90d73e20a982d1a6,3870,14,test
Re_spectators,da-author-re-spectators-464e4708,da-work-1312342920,文语谈 第十八期：道格,2021-07-12,efe7869015391dedb04cf1c9bc1ef257995bf4812cc92d6e5f99ec484996db13,93fdcb6cc0717c1e6a3d917ddcb0e54e831feb2634c6f1dbba5a14a49222e30e,7156,15,test
MScarlet,da-author-mscarlet-78b5e8fb,da-work-21694963,如何做出好吃的年糕，還有吃年糕之後有什麼效果,2014-03-10,7fb7b6a1288e607e9a97bcf83b2f950ff4e1c78473a6f62c25f5ef1d38b7f36b,c761a2114f291ba0bdd5db6231897802823b46a0c133b7eff1a3d9df6723ce1f,607,0,history
MScarlet,da-author-mscarlet-78b5e8fb,da-work-22434446,2014年的新春之時,2014-05-30,735a0dfec92f60069de4876cdfd5e31783072356e6130095394088087964b577,8963b701e45ad3f939397283616fb8d08fccc12a9dcedfbe67aa2c461c97e442,1308,1,history
MScarlet,da-author-mscarlet-78b5e8fb,da-work-23504963,讚美鸚鵡螺！,2014-08-31,be9f7fc7f694b59b3793ca2fa83e1a9eb1ee50ac44a5a5171efd5e87ae25ac7a,00518a8396258df5eeb4bfe78d5906f99791a2524804f47e093e4bfe44585329,894,2,history
MScarlet,da-author-mscarlet-78b5e8fb,da-work-23505019,剎那之旅,2014-08-31,0322862292e3b3b38f0e94c2b6bd15109331ef9191237b4b6318dd98d0cbd908,a1754d6d57792148eb07db6a9d34f3b7fb5f76efc2ff57f4eb5d6237f9c8e1fe,1958,3,history
MScarlet,da-author-mscarlet-78b5e8fb,da-work-26453694,英雄記：「幸運的」凡琴,2015-07-13,65fb23b3c3e31de26190c455bedec16c41d15e98cd7237106b0f6d3ba30dd988,40af35f243376894036c264a7dd753fe917690c00aa0bac29753cd6be207e769,1992,4,history
MScarlet,da-author-mscarlet-78b5e8fb,da-work-27418987,真正的遺產,2015-09-07,f1eb6da0e258e523c4b2fa8a391dc696c2ce376cd3a55837303838cc057e7d3e,91be5d11a47792dc4a724b171304241af792781a0d964c82e884a49e4c88f7c2,3156,5,history
