condition,context_token_bucket,truncated,n,top1,top3,mrr_at_10,missing_at_10,mean_rank_given_top10
full_multi3,0-127,False,266,0.6654135338345865,0.7218045112781954,0.7013933643632891,0.22556390977443608,1.4320388349514563
full_multi3,128-255,False,325,0.48923076923076925,0.6184615384615385,0.5629169719169719,0.3169230769230769,1.6396396396396395
full_multi3,256-511,False,5409,0.35533370308744683,0.5087816601959697,0.4408203405846224,0.39933444259567386,2.1074176669744538
full_short,0-127,False,266,0.8195488721804511,0.9060150375939849,0.8626655925528106,0.07518796992481203,1.2317073170731707
full_short,128-255,False,325,0.796923076923077,0.9015384615384615,0.8524737484737485,0.06153846153846154,1.3081967213114754
full_short,256-511,False,5409,0.7139951931965243,0.8480310593455352,0.7864762432982068,0.0920687742651137,1.5210751374465485
initial_multi3,0-127,False,266,0.24812030075187969,0.3533834586466165,0.30882265186776464,0.5714285714285714,2.0701754385964914
initial_multi3,128-255,False,325,0.16307692307692306,0.2153846153846154,0.19845909645909646,0.7230769230769231,2.3333333333333335
initial_multi3,256-511,False,5409,0.05823627287853577,0.09188389720835645,0.07960028406506499,0.8724348308374931,2.8260869565217392
initial_short,0-127,False,266,0.5225563909774437,0.6541353383458647,0.5982769423558898,0.24436090225563908,1.9850746268656716
initial_short,128-255,False,325,0.48923076923076925,0.6492307692307693,0.5781672771672771,0.2276923076923077,2.1633466135458166
initial_short,256-511,False,5409,0.3098539471251618,0.46773895359585876,0.40436537282072504,0.3902754668145683,2.5403274711946633
