condition,gold_char_length,n,top1,top3,mrr_at_10,missing_at_10,mean_rank_given_top10
full_multi3,3,309,0.3559870550161812,0.5533980582524272,0.471761185596137,0.3074433656957929,2.4065420560747666
full_multi3,4,1500,0.4053333333333333,0.5793333333333334,0.5059796296296296,0.3006666666666667,2.1877979027645376
full_multi3,5,2585,0.39729206963249514,0.5543520309477756,0.48138512787448956,0.36827852998065763,1.943661971830986
full_multi3,6,1200,0.35,0.4583333333333333,0.41086441798941803,0.4775,1.8532695374800638
full_multi3,7,325,0.20307692307692307,0.28,0.2517240537240537,0.6461538461538462,2.3217391304347825
full_multi3,8,71,0.352112676056338,0.4084507042253521,0.39357813547954396,0.4788732394366197,2.4594594594594597
full_multi3,9,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.7777777777777778,1.0
full_multi3,11,1,0.0,0.0,0.0,1.0,
full_short,1,2446,0.7121831561733443,0.8814390842191333,0.8032748640475542,0.04905968928863451,1.5799656061908856
full_short,2,3248,0.7595443349753694,0.8586822660098522,0.8130292634295098,0.0957512315270936,1.404494382022472
full_short,3,239,0.4100418410041841,0.5857740585774058,0.5019143919771535,0.34309623430962344,1.8853503184713376
full_short,4,65,0.49230769230769234,0.5538461538461539,0.5378632478632478,0.36923076923076925,1.6585365853658536
full_short,5,1,0.0,0.0,0.125,0.0,8.0
full_short,6,1,0.0,0.0,0.0,1.0,
initial_multi3,3,309,0.042071197411003236,0.10032362459546926,0.08560127395078851,0.7993527508090615,4.354838709677419
initial_multi3,4,1500,0.086,0.13733333333333334,0.11973042328042328,0.8066666666666666,2.7620689655172415
initial_multi3,5,2585,0.07969052224371373,0.11450676982591876,0.1015998894722299,0.8499032882011606,2.564432989690722
initial_multi3,6,1200,0.060833333333333336,0.09083333333333334,0.07672652116402116,0.8908333333333334,2.1526717557251906
initial_multi3,7,325,0.03076923076923077,0.046153846153846156,0.03933333333333333,0.9446153846153846,2.0555555555555554
initial_multi3,8,71,0.04225352112676056,0.056338028169014086,0.04929577464788732,0.9436619718309859,1.25
initial_multi3,9,9,0.0,0.0,0.018518518518518517,0.8888888888888888,6.0
initial_multi3,11,1,0.0,0.0,0.0,1.0,
initial_short,1,2446,0.39329517579721995,0.5813573180703189,0.5052033446248492,0.24407195421095668,2.537587885343429
initial_short,2,3248,0.29064039408866993,0.4353448275862069,0.3765737401282352,0.44273399014778325,2.4701657458563537
initial_short,3,239,0.2301255230125523,0.2594142259414226,0.25303347280334726,0.694560669456067,1.726027397260274
initial_short,4,65,0.2,0.26153846153846155,0.22991452991452993,0.7230769230769231,1.7222222222222223
initial_short,5,1,0.0,0.0,0.0,1.0,
initial_short,6,1,0.0,0.0,0.0,1.0,
