author,condition,n,top1,top3,mrr_at_10,missing_at_10,mean_rank_given_top10
Re_spectators,full_short,1000,0.814,0.934,0.8759412698412697,0.036,1.2977178423236515
Re_spectators,initial_short,1000,0.422,0.598,0.5275857142857143,0.254,2.2815013404825737
Re_spectators,full_multi3,1000,0.455,0.646,0.5569825396825397,0.27,1.9136986301369863
Re_spectators,initial_multi3,1000,0.108,0.161,0.14270992063492063,0.779,2.7194570135746607
MScarlet,full_short,1000,0.402,0.539,0.4847964285714286,0.335,2.3248120300751878
MScarlet,initial_short,1000,0.174,0.268,0.22922579365079365,0.64,2.783333333333333
MScarlet,full_multi3,1000,0.061,0.107,0.09238293650793651,0.831,3.3905325443786984
MScarlet,initial_multi3,1000,0.005,0.011,0.008437301587301587,0.984,3.4375
Etinjat,full_short,1000,0.717,0.867,0.7972261904761905,0.074,1.5
Etinjat,initial_short,1000,0.303,0.451,0.39455357142857145,0.402,2.6036789297658864
Etinjat,full_multi3,1000,0.384,0.532,0.4664261904761905,0.369,2.1283676703645007
Etinjat,initial_multi3,1000,0.063,0.099,0.08673928571428571,0.862,2.6449275362318843
Agent Phage,full_short,1000,0.793,0.922,0.861279761904762,0.033,1.3722854188210962
Agent Phage,initial_short,1000,0.339,0.529,0.4492718253968254,0.324,2.4866863905325443
Agent Phage,full_multi3,1000,0.464,0.632,0.5556861111111111,0.285,1.8517482517482518
Agent Phage,initial_multi3,1000,0.074,0.121,0.10197698412698412,0.839,2.720496894409938
QBLevi,full_short,1000,0.816,0.931,0.8751011904761905,0.038,1.3097713097713097
QBLevi,initial_short,1000,0.368,0.534,0.46950158730158725,0.295,2.575886524822695
QBLevi,full_multi3,1000,0.471,0.613,0.5518865079365078,0.295,1.897872340425532
QBLevi,initial_multi3,1000,0.099,0.143,0.12482460317460317,0.815,2.556756756756757
breaddddd,full_short,1000,0.797,0.928,0.8662281746031746,0.022,1.4304703476482619
breaddddd,initial_short,1000,0.368,0.535,0.4641198412698413,0.335,2.348872180451128
breaddddd,full_multi3,1000,0.423,0.615,0.5305515873015874,0.273,2.1059147180192572
breaddddd,initial_multi3,1000,0.085,0.126,0.11251587301587301,0.827,2.6820809248554913
