author,work_id,condition,n,top1,top3,mrr_at_10,missing_at_10,mean_rank_given_top10
Agent Phage,da-work-1306901813,full_multi3,167,0.4491017964071856,0.6706586826347305,0.5686365364509077,0.23952095808383234,1.8818897637795275
Agent Phage,da-work-1306901813,full_short,167,0.7664670658682635,0.9221556886227545,0.8477616196179071,0.023952095808383235,1.4233128834355828
Agent Phage,da-work-1306901813,initial_multi3,167,0.059880239520958084,0.1437125748502994,0.1072521623419827,0.8023952095808383,3.0303030303030303
Agent Phage,da-work-1306901813,initial_short,167,0.3772455089820359,0.592814371257485,0.49635490922916076,0.2994011976047904,2.1196581196581197
Agent Phage,da-work-1308319039,full_multi3,166,0.4457831325301205,0.5602409638554217,0.5097389558232931,0.3674698795180723,1.819047619047619
Agent Phage,da-work-1308319039,full_short,166,0.7469879518072289,0.9216867469879518,0.8377175368139224,0.030120481927710843,1.453416149068323
Agent Phage,da-work-1308319039,initial_multi3,166,0.05421686746987952,0.08433734939759036,0.07224612736660929,0.8855421686746988,2.8421052631578947
Agent Phage,da-work-1308319039,initial_short,166,0.30120481927710846,0.4457831325301205,0.3955058328552305,0.3795180722891566,2.796116504854369
Agent Phage,da-work-1308475040,full_multi3,166,0.37349397590361444,0.5903614457831325,0.48373493975903614,0.3313253012048193,2.0
Agent Phage,da-work-1308475040,full_short,166,0.6867469879518072,0.8674698795180723,0.7858840122394339,0.05421686746987952,1.624203821656051
Agent Phage,da-work-1308475040,initial_multi3,166,0.060240963855421686,0.10843373493975904,0.08970883534136546,0.8493975903614458,2.64
Agent Phage,da-work-1308475040,initial_short,166,0.28313253012048195,0.4457831325301205,0.3895606234461656,0.3614457831325301,2.811320754716981
Agent Phage,da-work-1313624985,full_multi3,167,0.4431137724550898,0.6287425149700598,0.5476832050185343,0.25748502994011974,2.0403225806451615
Agent Phage,da-work-1313624985,full_short,167,0.8502994011976048,0.9341317365269461,0.8919660678642715,0.041916167664670656,1.23125
Agent Phage,da-work-1313624985,initial_multi3,167,0.08982035928143713,0.11976047904191617,0.11052656591578748,0.8383233532934131,2.7037037037037037
Agent Phage,da-work-1313624985,initial_short,167,0.3413173652694611,0.5089820359281437,0.439856002281152,0.3652694610778443,2.3867924528301887
Agent Phage,da-work-1324311781,full_multi3,167,0.6107784431137725,0.7305389221556886,0.6717232202262142,0.23353293413173654,1.4140625
Agent Phage,da-work-1324311781,full_short,167,0.8622754491017964,0.9461077844311377,0.9083475905332192,0.011976047904191617,1.303030303030303
Agent Phage,da-work-1324311781,initial_multi3,167,0.11377245508982035,0.17365269461077845,0.1471057884231537,0.7904191616766467,2.3142857142857145
Agent Phage,da-work-1324311781,initial_short,167,0.3592814371257485,0.5449101796407185,0.46419779488641766,0.30538922155688625,2.5172413793103448
Agent Phage,da-work-1329988705,full_multi3,167,0.46107784431137727,0.6107784431137725,0.5518938313848494,0.281437125748503,1.9833333333333334
Agent Phage,da-work-1329988705,full_short,167,0.844311377245509,0.9401197604790419,0.8954091816367266,0.03592814371257485,1.204968944099379
Agent Phage,da-work-1329988705,initial_multi3,167,0.0658682634730539,0.09580838323353294,0.08477093432183253,0.8682634730538922,2.909090909090909
Agent Phage,da-work-1329988705,initial_short,167,0.3712574850299401,0.6347305389221557,0.5094762855241897,0.23353293413173654,2.359375
Etinjat,da-work-1312031374,full_multi3,118,0.4830508474576271,0.6864406779661016,0.5881456820016142,0.22033898305084745,2.0
Etinjat,da-work-1312031374,full_short,118,0.7372881355932204,0.9152542372881356,0.8326607479149852,0.00847457627118644,1.5811965811965811
Etinjat,da-work-1312031374,initial_multi3,118,0.06779661016949153,0.07627118644067797,0.08314500941619586,0.8728813559322034,2.6666666666666665
Etinjat,da-work-1312031374,initial_short,118,0.3050847457627119,0.4830508474576271,0.41177024482109226,0.3559322033898305,2.710526315789474
Etinjat,da-work-1312092619,full_multi3,118,0.3559322033898305,0.559322033898305,0.45710922787193975,0.3474576271186441,2.1818181818181817
Etinjat,da-work-1312092619,full_short,118,0.788135593220339,0.9152542372881356,0.851153483992467,0.0423728813559322,1.407079646017699
Etinjat,da-work-1312092619,initial_multi3,118,0.09322033898305085,0.1271186440677966,0.11613532418617165,0.8389830508474576,2.3157894736842106
Etinjat,da-work-1312092619,initial_short,118,0.3559322033898305,0.5338983050847458,0.4697571966639763,0.2966101694915254,2.5180722891566263
Etinjat,da-work-1312367742,full_multi3,58,0.034482758620689655,0.06896551724137931,0.0555008210180624,0.8793103448275862,4.428571428571429
Etinjat,da-work-1312367742,full_short,58,0.22413793103448276,0.3793103448275862,0.32391899288451015,0.4827586206896552,2.6333333333333333
Etinjat,da-work-1312367742,initial_multi3,58,0.0,0.0,0.0024630541871921183,0.9827586206896551,7.0
Etinjat,da-work-1312367742,initial_short,58,0.06896551724137931,0.06896551724137931,0.07260536398467433,0.896551724137931,3.8333333333333335
Etinjat,da-work-1312440942,full_multi3,118,0.4576271186440678,0.6440677966101694,0.5644168684422922,0.2457627118644068,1.9662921348314606
Etinjat,da-work-1312440942,full_short,118,0.7966101694915254,0.9322033898305084,0.8727401129943503,0.025423728813559324,1.2956521739130435
Etinjat,da-work-1312440942,initial_multi3,118,0.06779661016949153,0.15254237288135594,0.11108757062146891,0.8050847457627118,2.652173913043478
Etinjat,da-work-1312440942,initial_short,118,0.3135593220338983,0.4576271186440678,0.41771589991928976,0.3135593220338983,3.1604938271604937
Etinjat,da-work-1324148511,full_multi3,117,0.5470085470085471,0.6495726495726496,0.603656220322887,0.27350427350427353,1.7176470588235293
Etinjat,da-work-1324148511,full_short,117,0.811965811965812,0.9316239316239316,0.8738095238095238,0.03418803418803419,1.3185840707964602
Etinjat,da-work-1324148511,initial_multi3,117,0.05128205128205128,0.11965811965811966,0.09640143806810474,0.8034188034188035,3.391304347826087
Etinjat,da-work-1324148511,initial_short,117,0.3418803418803419,0.5470085470085471,0.4569427486094153,0.3418803418803419,2.2337662337662336
Etinjat,da-work-1330042257,full_multi3,117,0.29914529914529914,0.4358974358974359,0.3821462488129155,0.42735042735042733,2.611940298507463
Etinjat,da-work-1330042257,full_short,117,0.6837606837606838,0.8547008547008547,0.7807081807081807,0.03418803418803419,1.7876106194690264
Etinjat,da-work-1330042257,initial_multi3,117,0.05128205128205128,0.05982905982905983,0.057122507122507125,0.9230769230769231,2.5555555555555554
Etinjat,da-work-1330042257,initial_short,117,0.21367521367521367,0.3504273504273504,0.3007190340523674,0.47863247863247865,3.098360655737705
Etinjat,da-work-1331014733,full_multi3,118,0.576271186440678,0.7457627118644068,0.6617332526230831,0.2033898305084746,1.6702127659574468
Etinjat,da-work-1331014733,full_short,118,0.8220338983050848,0.9322033898305084,0.8753531073446328,0.059322033898305086,1.1981981981981982
Etinjat,da-work-1331014733,initial_multi3,118,0.1440677966101695,0.211864406779661,0.17655367231638416,0.788135593220339,1.36
Etinjat,da-work-1331014733,initial_short,118,0.4152542372881356,0.635593220338983,0.5429916599408126,0.19491525423728814,2.3473684210526318
Etinjat,da-work-1331158659,full_multi3,118,0.2457627118644068,0.3644067796610169,0.31974710788270105,0.5084745762711864,2.6551724137931036
Etinjat,da-work-1331158659,full_short,118,0.652542372881356,0.8220338983050848,0.7407788539144472,0.11016949152542373,1.6666666666666667
Etinjat,da-work-1331158659,initial_multi3,118,0.03389830508474576,0.05084745762711865,0.04979822437449556,0.9067796610169492,3.090909090909091
