author_name,split,rows,works,M1,M2,M3,M4,M5,full,initial,mixed
Re_spectators,fit,30000,14,9000,7500,6000,4500,3000,18000,4500,7500
Re_spectators,val,4000,1,1200,1000,800,600,400,2400,600,1000
Etinjat,fit,30000,63,6000,7500,9000,4500,3000,13500,12000,4500
Etinjat,val,4000,12,800,1000,1200,600,400,1800,1600,600
Agent Phage,fit,30000,45,6000,6000,6000,6000,6000,15000,5100,9900
Agent Phage,val,4000,5,800,800,800,800,800,2000,680,1320
QBLevi,fit,30000,28,4500,4500,6000,7500,7500,9000,7500,13500
QBLevi,val,4000,2,600,600,800,1000,1000,1200,1000,1800
breaddddd,fit,30000,45,10500,7500,6000,3600,2400,19500,3000,7500
breaddddd,val,4000,5,1400,1000,800,480,320,2600,400,1000
