author_name,work_id,creation_date,chronological_index,split,historical_interaction_count
Re_spectators,da-work-66105575,2018-02-28,1,fit,1092
Re_spectators,da-work-66381882,2018-03-04,2,fit,1292
Re_spectators,da-work-66450039,2018-03-05,3,fit,3374
Re_spectators,da-work-66896600,2018-03-10,4,fit,2873
Re_spectators,da-work-66984978,2018-03-12,5,fit,5953
Re_spectators,da-work-66985017,2018-03-12,6,fit,1321
Re_spectators,da-work-1022073917,2020-04-02,7,fit,4529
Re_spectators,da-work-1022095056,2020-04-02,8,fit,853
Re_spectators,da-work-1026154822,2020-04-25,9,fit,6794
Re_spectators,da-work-1026154861,2020-04-25,10,fit,701
Re_spectators,da-work-1035036156,2020-05-03,11,fit,2339
Re_spectators,da-work-1306943399,2021-02-17,12,fit,717
Re_spectators,da-work-1307368226,2021-03-16,13,fit,2817
Re_spectators,da-work-1310969119,2021-05-05,14,fit,1148
Re_spectators,da-work-1312042098,2021-06-11,15,val,11303
Re_spectators,da-work-1312342920,2021-07-12,16,test,18889
Etinjat,da-work-86845638,2018-06-15,1,fit,7533
Etinjat,da-work-99731126,2018-08-10,2,fit,3866
Etinjat,da-work-102674405,2018-08-18,3,fit,1542
Etinjat,da-work-108601495,2018-10-01,4,fit,318
Etinjat,da-work-117860200,2018-10-06,5,fit,1060
Etinjat,da-work-283577088,2018-10-30,6,fit,1297
Etinjat,da-work-323030459,2018-11-09,7,fit,3344
Etinjat,da-work-365486957,2018-11-19,8,fit,2161
Etinjat,da-work-509161993,2019-01-01,9,fit,1890
Etinjat,da-work-594525495,2019-01-26,10,fit,1851
Etinjat,da-work-596381436,2019-01-29,11,fit,242
Etinjat,da-work-637581301,2019-03-11,12,fit,186
Etinjat,da-work-638790543,2019-03-13,13,fit,730
Etinjat,da-work-639376584,2019-03-16,14,fit,1946
Etinjat,da-work-674765138,2019-04-05,15,fit,1122
Etinjat,da-work-680226663,2019-04-09,16,fit,754
Etinjat,da-work-759001519,2019-04-27,17,fit,59
Etinjat,da-work-763105006,2019-05-01,18,fit,1134
Etinjat,da-work-789981763,2019-05-09,19,fit,8070
