author,rank,target,author_count,other_authors_count,author_rate,other_authors_rate,log2_rate_ratio_smoothed
Agent Phage,1,半透明实体,8,0,0.00019047619047619048,0.0,5.169899239414231
Agent Phage,2,运输,7,0,0.00016666666666666666,0.0,4.9999742379719185
Agent Phage,3,存取,6,0,0.00014285714285714287,0.0,4.807329160029522
Agent Phage,4,掩盖协议,6,0,0.00014285714285714287,0.0,4.807329160029522
Agent Phage,5,千克左右,5,0,0.00011904761904761905,0.0,4.584936738693075
Agent Phage,6,半透明,5,0,0.00011904761904761905,0.0,4.584936738693075
Agent Phage,7,掩盖,19,3,0.00045238095238095237,1.785714285714286e-05,4.321902332859281
Agent Phage,8,无人机,9,1,0.00021428571428571427,5.9523809523809525e-06,4.321902332859281
Agent Phage,9,这份,8,1,0.00019047619047619048,5.9523809523809525e-06,4.169899239414231
Agent Phage,10,小队,6,1,0.00014285714285714287,5.9523809523809525e-06,3.8073291600295227
Agent Phage,11,一批,5,1,0.00011904761904761905,5.9523809523809525e-06,3.5849367386930746
Agent Phage,12,单元,5,1,0.00011904761904761905,5.9523809523809525e-06,3.5849367386930746
Agent Phage,13,噬菌体,5,1,0.00011904761904761905,5.9523809523809525e-06,3.5849367386930746
Agent Phage,14,情报,6,2,0.00014285714285714287,1.1904761904761905e-05,3.222366659308366
Agent Phage,15,带来的,5,2,0.00011904761904761905,1.1904761904761905e-05,2.999974237971918
Agent Phage,16,应用,5,2,0.00011904761904761905,1.1904761904761905e-05,2.999974237971918
Agent Phage,17,死神,6,3,0.00014285714285714287,1.785714285714286e-05,2.8073291600295227
Agent Phage,18,此时,7,4,0.00016666666666666666,2.380952380952381e-05,2.678046143084556
Agent Phage,19,最终,18,11,0.00042857142857142855,6.547619047619048e-05,2.6629392506943477
Agent Phage,20,下去,5,3,0.00011904761904761905,1.785714285714286e-05,2.5849367386930746
Agent Phage,21,压制,5,3,0.00011904761904761905,1.785714285714286e-05,2.5849367386930746
Agent Phage,22,四周,5,3,0.00011904761904761905,1.785714285714286e-05,2.5849367386930746
Agent Phage,23,的情况下,5,3,0.00011904761904761905,1.785714285714286e-05,2.5849367386930746
Agent Phage,24,米,5,3,0.00011904761904761905,1.785714285714286e-05,2.5849367386930746
Agent Phage,25,情况下,9,6,0.00021428571428571427,3.571428571428572e-05,2.5145474108016765
