author,scope,N_rows,target_vocabulary_size,type_token_ratio,singleton_target_types,singleton_type_share,top1_target_frequency_share
Agent Phage,All,42000,35706,0.8501428571428571,34057,0.9538172856102616,0.013571428571428571
Agent Phage,Fit,30000,25743,0.8581,24556,0.953890377966826,0.013566666666666666
Agent Phage,Validation,4000,3687,0.92175,3562,0.9660970979115813,0.013
Agent Phage,Test,8000,7227,0.903375,6959,0.9629168396291684,0.013875
Etinjat,All,42000,37476,0.8922857142857142,35873,0.9572259579464191,0.00919047619047619
Etinjat,Fit,30000,27331,0.9110333333333334,26298,0.9622040905930994,0.007833333333333333
Etinjat,Validation,4000,3832,0.958,3752,0.9791231732776617,0.0065
Etinjat,Test,8000,6994,0.87425,6605,0.9443808979124965,0.015625
QBLevi,All,42000,37837,0.9008809523809523,36483,0.9642149219018421,0.008785714285714286
QBLevi,Fit,30000,27309,0.9103,26375,0.9657988209015342,0.009
QBLevi,Validation,4000,3781,0.94525,3692,0.9764612536366041,0.00525
QBLevi,Test,8000,7472,0.934,7253,0.9706905781584583,0.00975
Re_spectators,All,42000,29953,0.7131666666666666,26997,0.9013120555537008,0.026
Re_spectators,Fit,30000,21530,0.7176666666666667,19273,0.8951695308871342,0.026566666666666666
Re_spectators,Validation,4000,3265,0.81625,2993,0.9166921898928024,0.0235
Re_spectators,Test,8000,6147,0.768375,5641,0.9176834228078737,0.025125
breaddddd,All,42000,29906,0.712047619047619,27461,0.9182438306694309,0.023214285714285715
breaddddd,Fit,30000,21918,0.7306,20165,0.9200200748243453,0.0231
breaddddd,Validation,4000,3285,0.82125,3066,0.9333333333333333,0.018
breaddddd,Test,8000,6208,0.776,5696,0.9175257731958762,0.02625
