author,left_split,right_split,left_vocab,right_vocab,intersection,union,jaccard,right_seen_in_left_types,right_unseen_in_left_types,right_unseen_type_rate
ALL,Fit,Validation,117097,17090,2084,132103,0.015775569063533758,2084,15006,0.8780573434757168
ALL,Fit,Test,117097,32168,3325,145940,0.022783335617377005,3325,28843,0.896636408853519
ALL,Validation,Test,17090,32168,1295,47963,0.026999979150595252,1295,30873,0.9597426013429495
ALL,Fit+Validation,Test,132103,32168,3562,160709,0.022164284514246246,3562,28606,0.8892688385973638
Agent Phage,Fit,Validation,25743,3687,341,29089,0.01172264429853209,341,3346,0.9075128831027935
Agent Phage,Fit,Test,25743,7227,575,32395,0.01774965272418583,575,6652,0.9204372492043725
Agent Phage,Validation,Test,3687,7227,200,10714,0.018667164457718873,200,7027,0.97232599972326
Agent Phage,Fit+Validation,Test,29089,7227,610,35706,0.017083963479527252,610,6617,0.915594299155943
Etinjat,Fit,Validation,27331,3832,250,30913,0.008087212499595639,250,3582,0.9347599164926931
Etinjat,Fit,Test,27331,6994,415,33910,0.012238277794161015,415,6579,0.9406634257935373
Etinjat,Validation,Test,3832,6994,102,10724,0.009511376352107423,102,6892,0.9854160709179296
Etinjat,Fit+Validation,Test,30913,6994,431,37476,0.011500693777350838,431,6563,0.9383757506434086
QBLevi,Fit,Validation,27309,3781,256,30834,0.008302523188687813,256,3525,0.9322930441682095
QBLevi,Fit,Test,27309,7472,437,34344,0.012724202189610994,437,7035,0.9415149892933619
QBLevi,Validation,Test,3781,7472,138,11115,0.012415654520917679,138,7334,0.9815310492505354
QBLevi,Fit+Validation,Test,30834,7472,469,37837,0.012395274466791764,469,7003,0.9372323340471093
Re_spectators,Fit,Validation,21530,3265,425,24370,0.017439474764054164,425,2840,0.8698315467075038
Re_spectators,Fit,Test,21530,6147,475,27202,0.017461951327108302,475,5672,0.9227265332682609
Re_spectators,Validation,Test,3265,6147,271,9141,0.02964664697516683,271,5876,0.9559134537172604
Re_spectators,Fit+Validation,Test,24370,6147,564,29953,0.018829499549293895,564,5583,0.9082479258174719
breaddddd,Fit,Validation,21918,3285,529,24674,0.02143957201912945,529,2756,0.8389649923896499
breaddddd,Fit,Test,21918,6208,930,27196,0.0341962053243124,930,5278,0.8501932989690721
breaddddd,Validation,Test,3285,6208,321,9172,0.034997819450501524,321,5887,0.9482925257731959
breaddddd,Fit+Validation,Test,24674,6208,976,29906,0.032635591520096305,976,5232,0.8427835051546392
