scope,author,split,N_rows,target_vocabulary_size,type_token_ratio,singleton_target_types
GLOBAL,ALL,Fit,150000,117097,0.7806466666666667,110104
AUTHOR,Agent Phage,Fit,30000,25743,0.8581,24556
AUTHOR,Etinjat,Fit,30000,27331,0.9110333333333334,26298
AUTHOR,QBLevi,Fit,30000,27309,0.9103,26375
AUTHOR,Re_spectators,Fit,30000,21530,0.7176666666666667,19273
AUTHOR,breaddddd,Fit,30000,21918,0.7306,20165
GLOBAL,ALL,Validation,20000,17090,0.8545,16275
AUTHOR,Agent Phage,Validation,4000,3687,0.92175,3562
AUTHOR,Etinjat,Validation,4000,3832,0.958,3752
AUTHOR,QBLevi,Validation,4000,3781,0.94525,3692
AUTHOR,Re_spectators,Validation,4000,3265,0.81625,2993
AUTHOR,breaddddd,Validation,4000,3285,0.82125,3066
GLOBAL,ALL,Test,40000,32168,0.8042,30253
AUTHOR,Agent Phage,Test,8000,7227,0.903375,6959
AUTHOR,Etinjat,Test,8000,6994,0.87425,6605
AUTHOR,QBLevi,Test,8000,7472,0.934,7253
AUTHOR,Re_spectators,Test,8000,6147,0.768375,5641
AUTHOR,breaddddd,Test,8000,6208,0.776,5696
