subset,model,top1,top3,mrr_at_10,missing_at_10,mean_rank_given_top10,n,authors_with_rows
overall,G0,0.7231666666666667,0.8535,0.793428835978836,0.08966666666666667,1.5391761581065844,6000,6
overall,F-H5000,0.7718333333333334,0.8723333333333333,0.8249612433862433,0.08966666666666667,1.366685554535331,6000,6
overall,M1-H5000,0.7675000000000001,0.8713333333333333,0.8225744708994709,0.08966666666666667,1.3769072114411491,6000,6
overall,M2-H5000,0.765,0.8716666666666666,0.8209834656084656,0.08966666666666667,1.3823712353345725,6000,6
history_available,G0,0.7567131615581154,0.8895599009681594,0.8273955882250704,0.05919995737819245,1.4809319863299928,3904,6
history_available,F-H5000,0.8290200604214916,0.9182803936124361,0.8743708114770946,0.05919995737819245,1.2391212591868312,3904,6
history_available,M1-H5000,0.8190291288899766,0.9167333460939123,0.8691770267721989,0.05919995737819245,1.257078016239148,3904,6
history_available,M2-H5000,0.8157311355048013,0.9172886702588047,0.8670266735992009,0.05919995737819245,1.2631369717861334,3904,6
ambiguous,G0,0.7068355123795343,0.8784510968844751,0.7969496139616061,0.06143930268165531,1.5911274115759955,1661,6
ambiguous,F-H5000,0.7712972990214865,0.9131769325891655,0.8419084656448366,0.06143930268165531,1.3133934278593462,1661,6
ambiguous,M1-H5000,0.759040112296474,0.9093407138177344,0.8348421050458926,0.06143930268165531,1.3458619106140073,1661,6
ambiguous,M2-H5000,0.7503615549870789,0.9107746203813439,0.8293867632375697,0.06143930268165531,1.361394647291802,1661,6
conflict,G0,0.43811986933227537,0.741105329282021,0.5969967415555996,0.1486167336778239,2.1202114378537793,377,6
conflict,F-H5000,0.18207160436483746,0.7671344464765517,0.47190672140319695,0.1486167336778239,2.2994045538351875,377,6
conflict,M1-H5000,0.1944904309518971,0.7551393263564316,0.4747994928669271,0.1486167336778239,2.358416145024004,377,6
conflict,M2-H5000,0.1643947485347861,0.7588066792625064,0.4531953458392603,0.1486167336778239,2.452531398922738,377,6
