model,author,n,top1,top3,mrr_at_10,missing_at_10,mean_rank_given_top10
G0,Agent Phage,1000,0.793,0.922,0.861279761904762,0.033,1.3722854188210962
G0,Etinjat,1000,0.717,0.867,0.7972261904761905,0.074,1.5
G0,MScarlet,1000,0.402,0.539,0.4847964285714286,0.335,2.3248120300751878
G0,QBLevi,1000,0.816,0.931,0.8751011904761905,0.038,1.3097713097713097
G0,Re_spectators,1000,0.814,0.934,0.8759412698412697,0.036,1.2977178423236515
G0,breaddddd,1000,0.797,0.928,0.8662281746031746,0.022,1.4304703476482619
F-H5000,Agent Phage,1000,0.844,0.941,0.8935563492063492,0.033,1.2471561530506723
F-H5000,Etinjat,1000,0.722,0.874,0.8008980158730159,0.074,1.4654427645788337
F-H5000,MScarlet,1000,0.493,0.588,0.5491027777777777,0.335,1.8
F-H5000,QBLevi,1000,0.862,0.939,0.90155,0.038,1.2214137214137215
F-H5000,Re_spectators,1000,0.846,0.947,0.8972718253968254,0.036,1.2033195020746887
F-H5000,breaddddd,1000,0.864,0.945,0.9073884920634921,0.022,1.2627811860940694
M1-H5000,Agent Phage,1000,0.847,0.939,0.8943063492063492,0.033,1.2512926577042398
M1-H5000,Etinjat,1000,0.684,0.873,0.7832388888888889,0.074,1.5010799136069115
M1-H5000,MScarlet,1000,0.502,0.588,0.5527373015873015,0.335,1.806015037593985
M1-H5000,QBLevi,1000,0.861,0.938,0.9004666666666667,0.038,1.2266112266112266
M1-H5000,Re_spectators,1000,0.848,0.946,0.8977757936507936,0.036,1.2116182572614107
M1-H5000,breaddddd,1000,0.863,0.944,0.9069218253968254,0.022,1.2648261758691206
M2-H5000,Agent Phage,1000,0.842,0.939,0.8919730158730159,0.033,1.2554291623578075
M2-H5000,Etinjat,1000,0.69,0.874,0.786438492063492,0.074,1.4892008639308856
M2-H5000,MScarlet,1000,0.486,0.586,0.5427373015873015,0.335,1.849624060150376
M2-H5000,QBLevi,1000,0.859,0.94,0.899925,0.038,1.2266112266112266
M2-H5000,Re_spectators,1000,0.848,0.946,0.8971051587301587,0.036,1.2105809128630705
M2-H5000,breaddddd,1000,0.865,0.945,0.9077218253968253,0.022,1.2627811860940694
PV1-H5000,Agent Phage,1000,0.841,0.949,0.895609126984127,0.025,1.2615384615384615
PV1-H5000,Etinjat,1000,0.701,0.868,0.7920488095238095,0.063,1.5357524012806831
PV1-H5000,MScarlet,1000,0.558,0.685,0.6295515873015873,0.232,1.7721354166666667
PV1-H5000,QBLevi,1000,0.863,0.945,0.90525,0.031,1.2291021671826625
PV1-H5000,Re_spectators,1000,0.839,0.947,0.8940551587301587,0.034,1.2184265010351967
PV1-H5000,breaddddd,1000,0.872,0.955,0.9161980158730159,0.012,1.26417004048583
PV2-H5000,Agent Phage,1000,0.842,0.949,0.896109126984127,0.025,1.2605128205128204
PV2-H5000,Etinjat,1000,0.699,0.869,0.7911321428571428,0.063,1.536819637139808
PV2-H5000,MScarlet,1000,0.554,0.686,0.6286349206349207,0.232,1.7682291666666667
PV2-H5000,QBLevi,1000,0.863,0.945,0.9049166666666666,0.031,1.2311661506707947
PV2-H5000,Re_spectators,1000,0.839,0.946,0.8937551587301588,0.034,1.2215320910973084
PV2-H5000,breaddddd,1000,0.872,0.955,0.9156980158730158,0.012,1.2672064777327936
